fare_id,route_id,origin_id,destination_id,contains_id
282882,ACETrain,72309,72308,
282883,ACETrain,72309,72310,
282884,ACETrain,72309,72311,
282885,ACETrain,72309,72312,
282886,ACETrain,72309,72313,
282887,ACETrain,72309,72314,
282888,ACETrain,72309,72316,
282889,ACETrain,72309,72315,
282890,ACETrain,72310,72300,
282891,ACETrain,72310,72308,
282892,ACETrain,72310,72309,
282893,ACETrain,72310,72311,
282894,ACETrain,72310,72312,
282895,ACETrain,72310,72313,
282896,ACETrain,72310,72314,
282897,ACETrain,72310,72316,
282898,ACETrain,72310,72315,
282899,ACETrain,72311,72300,
282900,ACETrain,72311,72308,
282901,ACETrain,72311,72309,
282902,ACETrain,72311,72310,
282903,ACETrain,72311,72312,
282904,ACETrain,72311,72313,
282905,ACETrain,72311,72314,
282906,ACETrain,72311,72316,
282907,ACETrain,72311,72315,
282908,ACETrain,72312,72300,
282909,ACETrain,72312,72308,
282910,ACETrain,72312,72309,
282911,ACETrain,72312,72310,
282912,ACETrain,72312,72311,
282913,ACETrain,72312,72313,
282914,ACETrain,72312,72314,
282915,ACETrain,72312,72316,
282916,ACETrain,72312,72315,
282917,ACETrain,72313,72300,
282918,ACETrain,72313,72308,
282919,ACETrain,72313,72309,
282920,ACETrain,72313,72310,
282921,ACETrain,72313,72311,
282922,ACETrain,72313,72312,
282923,ACETrain,72313,72314,
282924,ACETrain,72313,72316,
282925,ACETrain,72313,72315,
282926,ACETrain,72314,72300,
282927,ACETrain,72314,72308,
282928,ACETrain,72314,72309,
282929,ACETrain,72314,72310,
282930,ACETrain,72314,72311,
282931,ACETrain,72314,72312,
282932,ACETrain,72314,72313,
282933,ACETrain,72314,72316,
282934,ACETrain,72314,72315,
282935,ACETrain,72316,72300,
282936,ACETrain,72316,72308,
282937,ACETrain,72316,72309,
282938,ACETrain,72316,72310,
282939,ACETrain,72316,72311,
282940,ACETrain,72316,72312,
282941,ACETrain,72316,72313,
282942,ACETrain,72316,72314,
282943,ACETrain,72316,72315,
282944,ACETrain,72315,72300,
282945,ACETrain,72315,72308,
282946,ACETrain,72315,72309,
282947,ACETrain,72315,72310,
282948,ACETrain,72315,72311,
282949,ACETrain,72315,72312,
282950,ACETrain,72315,72313,
282951,ACETrain,72315,72314,
282952,ACETrain,72315,72316,
282773,ACETrain,72308,72300,
282774,ACETrain,72309,72300,
282775,ACETrain,72310,72300,
282776,ACETrain,72311,72300,
282777,ACETrain,72312,72300,
282778,ACETrain,72313,72300,
282779,ACETrain,72314,72300,
282780,ACETrain,72316,72300,
282781,ACETrain,72315,72300,
282782,ACETrain,72300,72308,
282783,ACETrain,72309,72308,
282784,ACETrain,72310,72308,
282785,ACETrain,72311,72308,
282786,ACETrain,72312,72308,
282787,ACETrain,72313,72308,
282788,ACETrain,72314,72308,
282789,ACETrain,72316,72308,
282790,ACETrain,72315,72308,
282791,ACETrain,72300,72309,
282792,ACETrain,72308,72309,
282793,ACETrain,72310,72309,
282794,ACETrain,72311,72309,
282795,ACETrain,72312,72309,
282796,ACETrain,72313,72309,
282797,ACETrain,72314,72309,
282798,ACETrain,72316,72309,
282799,ACETrain,72315,72309,
