stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
ACA,ACA,Antioch Station,38.017818,-121.816183,72303,,https://www.amtrak.com/stations/aca.html,0,,,1,
BFD,BFD,Bakersfield Station,35.372182,-119.007701,72290,,https://www.amtrak.com/stations/bfd.html,0,,,1,
COC,COC,Corcoran Station,36.098325,-119.55714,72292,,https://www.amtrak.com/stations/coc,0,,,1,
EMY,EMY,Emeryville Station,37.840463,-122.291727,72306,,https://www.amtrak.com/stations/emy.html,0,,,1,
FMT,FMT,Fremont Station,37.559114,-122.007353,72313,,https://www.amtrak.com/stations/fmt.html,0,,,1,
FNO,FNO,Fresno Station,36.738431,-119.782647,72294,,https://www.amtrak.com/stations/fno.html,0,,,1,
GAC,GAC,Great America Parkway Station,37.406833,-121.967047,72314,,https://www.amtrak.com/stations/gac.html,0,,,1,
HNF,HNF,Hanford Station,36.326092,-119.651982,72293,,https://www.amtrak.com/stations/hnf.html,0,,,1,
LTM,LTM,Lathrop Station,37.79894,-121.264143,72308,,https://www.amtrak.com/stations/ltm.html,0,,,1,
LIV,LIV,Livermore Station,37.685045,-121.766906,72311,,https://www.amtrak.com/stations/liv.html,0,,,1,
LOD,LOD,Lodi Station,38.133445,-121.271655,72301,,https://www.amtrak.com/stations/lod.html,0,,,1,
LAX,LAX,Los Angeles Station,34.056205,-118.236504,72289,,https://www.amtrak.com/stations/lax,0,,,1,
MDR,MDR,Madera Station,37.022568,-120.075125,72295,,https://www.amtrak.com/stations/mdr.html,0,,,1,
MTZ,MTZ,Martinez Station,38.019089,-122.138832,72304,,https://www.amtrak.com/stations/mtz.html,0,,,1,
MCD,MCD,Merced Station,37.30733,-120.476773,72296,,https://www.amtrak.com/stations/mcd.html,0,,,1,
MOD,MOD,Modesto Station,37.668882,-120.912354,72298,,https://www.amtrak.com/stations/mod.html,0,,,1,
OKJ,OKJ,Oakaland Station,37.793793,-122.271467,72307,,https://www.amtrak.com/stations/okj.html,0,,,1,
PLS,PLS,Pleasanton Station,37.658561,-121.882229,72312,,https://www.amtrak.com/stations/pls.html,0,,,1,
RIC,RIC,Richmond Station,37.936775,-122.353053,72305,,https://www.amtrak.com/stations/ric.html,0,,,1,
SAC,SAC,Sacremento Station,38.584163,-121.50064,72302,,https://www.amtrak.com/stations/sac.html,0,,,1,
SJC,SJC,San Jose Station,37.330686,-121.902378,72315,,https://www.amtrak.com/stations/sjc.html,0,,,1,
SCC,SCC,Santa Clara Station,37.353506,-121.936312,72316,,https://www.amtrak.com/stations/scc.html,0,,,1,
SKT,SKT,Stockton - Robert J Cabral Station,37.95708,-121.27888,72299,,https://www.amtrak.com/stations/skt.html,0,,,1,
TRC,TRC,Tracy Station,37.696419,-121.432738,72309,,https://www.amtrak.com/stations/trc.html,0,,,1,
TRK,TRK,Turlock-Denair Station,37.527261,-120.79808,72297,,https://www.amtrak.com/stations/trk.html,0,,,1,
VAS,VAS,Vasco Rt Station,37.697062,-121.717655,72310,,https://www.amtrak.com/stations/vas.html,0,,,1,
WAC,WAC,Wasco Station,35.594231,-119.331919,72291,,https://www.amtrak.com/stations/wac.html,0,,,1,
