fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
1,6.00,USD,1,0,,0
2,7.00,USD,1,0,,0
3,7.50,USD,1,0,,0
4,8.50,USD,1,0,,0
5,9.00,USD,1,0,,0
6,9.50,USD,1,0,,0
7,10.00,USD,1,0,,0
8,11.00,USD,1,0,,0
9,11.50,USD,1,0,,0
10,12.00,USD,1,0,,0
11,13.00,USD,1,0,,0
12,14.00,USD,1,0,,0
13,15.00,USD,1,0,,0
14,16.00,USD,1,0,,0
15,17.00,USD,1,0,,0
16,18.00,USD,1,0,,0
17,19.00,USD,1,0,,0
18,20.00,USD,1,0,,0
19,21.00,USD,1,0,,0
20,22.00,USD,1,0,,0
21,23.00,USD,1,0,,0
22,24.00,USD,1,0,,0
23,25.00,USD,1,0,,0
24,26.00,USD,1,0,,0
25,27.00,USD,1,0,,0
26,29.00,USD,1,0,,0
27,30.00,USD,1,0,,0
28,31.00,USD,1,0,,0
29,32.00,USD,1,0,,0
30,33.00,USD,1,0,,0
31,35.00,USD,1,0,,0
32,36.00,USD,1,0,,0
33,37.00,USD,1,0,,0
34,39.00,USD,1,0,,0
35,40.00,USD,1,0,,0
36,41.00,USD,1,0,,0
37,42.00,USD,1,0,,0
38,43.00,USD,1,0,,0
