runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_70155_b_82012_d_31,1359539,1,1,t_5806276_b_82012_tn_0,4208933,t_5806274_b_82012_tn_0,4208933
1000000,c_70155_b_82012_d_31,1359552,10,1,t_5806202_b_82012_tn_0,4208946,t_5806203_b_82012_tn_0,4208933
1100000,c_70155_b_82012_d_31,1359553,11,1,t_5806154_b_82012_tn_0,4208928,t_5806213_b_82012_tn_0,4208920
1200000,c_70155_b_82012_d_31,1359554,12,1,t_5806166_b_82012_tn_0,4208933,t_5806148_b_82012_tn_0,4208945
1300000,c_70155_b_82012_d_31,1359555,13,1,t_5806242_b_82012_tn_0,4208891,t_5806353_b_82012_tn_0,4208909
1400000,c_70155_b_82012_d_31,1359556,14,1,t_5806261_b_82012_tn_0,4208931,t_5806363_b_82012_tn_0,4208868
1500000,c_70155_b_82012_d_31,1359557,15,1,t_5806415_b_82012_tn_0,4208979,t_5806428_b_82012_tn_0,4208979
1600000,c_70155_b_82012_d_31,1359558,16,1,t_5806181_b_82012_tn_0,4208980,t_5806259_b_82012_tn_0,4208979
1700000,c_70155_b_82012_d_31,1359559,17,1,t_5806150_b_82012_tn_0,4208907,t_5806133_b_82012_tn_0,4208869
1800000,c_70155_b_82012_d_31,1359561,18,1,t_5806218_b_82012_tn_0,4208884,t_5806356_b_82012_tn_0,4208884
1900000,c_70155_b_82012_d_31,1359562,19,1,t_5806243_b_82012_tn_0,4208838,t_5806403_b_82012_tn_0,4208933
200000,c_70155_b_82012_d_31,1359540,2,1,t_5806235_b_82012_tn_0,4208933,t_5806373_b_82012_tn_0,4208977
2000000,c_70155_b_82012_d_31,1359563,20,1,t_5806280_b_82012_tn_0,4208868,t_5806205_b_82012_tn_0,4208928
2100000,c_70155_b_82012_d_31,1359564,21,1,t_5806282_b_82012_tn_0,4208868,t_5806153_b_82012_tn_0,4208928
2200000,c_70155_b_82012_d_31,1359566,22,1,t_5806185_b_82012_tn_0,4208930,t_5806184_b_82012_tn_0,4208917
2300000,c_70155_b_82012_d_31,1359567,23,1,t_5806360_b_82012_tn_0,4208930,t_5806359_b_82012_tn_0,4208930
2400000,c_70155_b_82012_d_31,1359568,24,1,t_5806267_b_82012_tn_0,4208930,t_5806433_b_82012_tn_0,4208928
2500000,c_70155_b_82012_d_31,1359570,25,1,t_5806332_b_82012_tn_0,4208836,t_5806392_b_82012_tn_0,4208930
2600000,c_70155_b_82012_d_31,1359571,26,1,t_5806278_b_82012_tn_0,4208836,t_5806394_b_82012_tn_0,4208910
2700000,c_70155_b_82012_d_31,1359573,27,1,t_5806141_b_82012_tn_0,4208891,t_5806211_b_82012_tn_0,4208884
2800000,c_70155_b_82012_d_31,1359574,28,1,t_5806284_b_82012_tn_0,4208928,t_5806138_b_82012_tn_0,4208868
2900000,c_70155_b_82012_d_31,1359575,29,1,t_5806140_b_82012_tn_0,4208891,t_5806210_b_82012_tn_0,4208884
300000,c_70155_b_82012_d_31,1359544,3,1,t_5806414_b_82012_tn_0,4208979,t_5806427_b_82012_tn_0,4208979
