route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
DB1,72781,9656928,To Union City BART,0,1230784,DB10055,,,
DB1,72781,9656936,To Union City BART,0,1230785,DB10055,,,
DB1,72781,9656940,To Union City BART,0,1230786,DB10055,,,
DB1,72781,9656951,To Union City BART,0,1230787,DB10055,,,
DB1,72781,9656924,To Union City BART,0,1230784,DB10055,,,
DB1,72781,9656938,To Union City BART,0,1230785,DB10055,,,
DB1,72781,9656947,To Union City BART,0,1230787,DB10055,,,
DB1,72781,9656926,To Union City BART,0,1230785,DB10055,,,
DB1,72781,9656954,To Union City BART,0,1230787,DB10055,,,
DB1,72781,9656972,To Union City BART,0,1230785,DB10056,,,
DB1,72781,9656988,To Union City BART,0,1230787,DB10056,,,
DB1,72781,9656981,To Union City BART,0,1230789,DB10056,,,
DB1,72781,9656968,To Union City BART,0,1230785,DB10056,,,
DB1,72781,9656993,To Union City BART,0,1230790,DB10056,,,
DB1,72781,9656984,To Union City BART,0,1230791,DB10056,,,
DB1,72781,9656998,To Union City BART,0,1230787,DB10056,,,
DB1,72781,9657000,To Union City BART,0,1230785,DB10056,,,
DB1,72781,9656970,To Union City BART,0,1230789,DB10056,,,
DB1,72781,9656995,To Union City BART,0,1230790,DB10056,,,
DB1,72781,9656986,To Union City BART,0,1230787,DB10056,,,
DB1,72781,9656997,To Union City BART,0,1230791,DB10056,,,
DB1,72781,9657002,To Union City BART,0,1230789,DB10056,,,
DB1,72781,9656927,To Stanford Research Park,1,1230784,DB10054,,,
DB1,72781,9656935,To Stanford Research Park,1,1230785,DB10054,,,
DB1,72781,9656939,To Stanford Research Park,1,1230786,DB10054,,,
DB1,72781,9656950,To Stanford Research Park,1,1230787,DB10054,,,
DB1,72781,9656937,To Stanford Research Park,1,1230784,DB10054,,,
DB1,72781,9656941,To Stanford Research Park,1,1230785,DB10054,,,
DB1,72781,9656946,To Stanford Research Park,1,1230788,DB10054,,,
DB1,72781,9656952,To Stanford Research Park,1,1230787,DB10054,,,
DB1,72781,9656925,To Stanford Research Park,1,1230785,DB10054,,,
DB1,72781,9656953,To Stanford Research Park,1,1230787,DB10054,,,
DB1,72781,9656971,To Stanford Research Park,1,1230785,DB10054,,,
DB1,72781,9656987,To Stanford Research Park,1,1230787,DB10054,,,
DB1,72781,9656980,To Stanford Research Park,1,1230789,DB10053,,,
DB1,72781,9657010,To Stanford Research Park,1,1230785,DB10053,,,
DB1,72781,9656983,To Stanford Research Park,1,1230790,DB10053,,,
DB1,72781,9656996,To Stanford Research Park,1,1230787,DB10053,,,
DB1,72781,9656999,To Stanford Research Park,1,1230789,DB10053,,,
DB1,72781,9656969,To Stanford Research Park,1,1230785,DB10053,,,
DB1,72781,9656982,To Stanford Research Park,1,1230790,DB10053,,,
DB1,72781,9656994,To Stanford Research Park,1,1230791,DB10053,,,
DB1,72781,9656985,To Stanford Research Park,1,1230787,DB10053,,,
DB1,72781,9657001,To Stanford Research Park,1,1230789,DB10053,,,
DB,72781,9656923,To Union City BART,0,1230777,DB0089,,,
DB,72781,9656932,To Union City BART,0,1230778,DB0089,,,
DB,72781,9656943,To Union City BART,0,1230779,DB0089,,,
DB,72781,9656949,To Union City BART,0,1230780,DB0089,,,
DB,72781,9656930,To Union City BART,0,1230777,DB0089,,,
DB,72781,9656934,To Union City BART,0,1230778,DB0089,,,
DB,72781,9656945,To Union City BART,0,1230779,DB0089,,,
DB,72781,9656956,To Union City BART,0,1230777,DB0089,,,
DB,72781,9656960,To Union City BART,0,1230779,DB0089,,,
DB,72781,9656958,To Union City BART,0,1230777,DB0089,,,
DB,72781,9656961,To Union City BART,0,1230782,DB0089,,,
DB,72781,9656963,To Union City BART,0,1230781,DB0089,,,
DB,72781,9656979,To Union City BART,0,1230777,DB0089,,,
DB,72781,9656974,To Union City BART,0,1230783,DB0089,,,
DB,72781,9656990,To Union City BART,0,1230782,DB0089,,,
DB,72781,9656965,To Union City BART,0,1230781,DB0089,,,
DB,72781,9657004,To Union City BART,0,1230777,DB0089,,,
DB,72781,9656976,To Union City BART,0,1230783,DB0089,,,
DB,72781,9656992,To Union City BART,0,1230782,DB0089,,,
DB,72781,9657008,To Union City BART,0,1230781,DB0089,,,
DB,72781,9656967,To Union City BART,0,1230777,DB0089,,,
DB,72781,9657006,To Union City BART,0,1230783,DB0089,,,
DB,72781,9656978,To Union City BART,0,1230782,DB0089,,,
DB,72781,9656922,To Stanford University,1,1230777,DB0088,,,
DB,72781,9656931,To Stanford University,1,1230778,DB0088,,,
DB,72781,9656942,To Stanford University,1,1230779,DB0088,,,
DB,72781,9656948,To Stanford University,1,1230780,DB0088,,,
DB,72781,9656929,To Stanford University,1,1230777,DB0088,,,
DB,72781,9656933,To Stanford University,1,1230778,DB0088,,,
DB,72781,9656944,To Stanford University,1,1230779,DB0088,,,
DB,72781,9656955,To Stanford University,1,1230777,DB0088,,,
DB,72781,9656959,To Stanford University,1,1230779,DB0088,,,
DB,72781,9656957,To Stanford University,1,1230777,DB0088,,,
DB,72781,9656962,To Stanford University,1,1230781,DB0088,,,
DB,72781,9656973,To Stanford University,1,1230777,DB0088,,,
DB,72781,9656989,To Stanford University,1,1230783,DB0088,,,
DB,72781,9656964,To Stanford University,1,1230782,DB0088,,,
DB,72781,9657003,To Stanford University,1,1230781,DB0088,,,
DB,72781,9656975,To Stanford University,1,1230777,DB0088,,,
DB,72781,9656991,To Stanford University,1,1230783,DB0088,,,
DB,72781,9657007,To Stanford University,1,1230782,DB0088,,,
DB,72781,9656966,To Stanford University,1,1230781,DB0088,,,
DB,72781,9657005,To Stanford University,1,1230777,DB0088,,,
DB,72781,9656977,To Stanford University,1,1230783,DB0088,,,
DB,72781,9657009,To Stanford University,1,1230782,DB0088,,,
