runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_20909_b_none_d_31,1H,1H,1,1_Trip1_H_HOL,2309331,1_Trip9_H_HOL,2309331
1000000,c_20909_b_none_d_31,5SP,5SP,1,5_Trip1_SP_HOL,2309331,5_Trip7_SP_HOL,2309331
1100000,c_20909_b_none_d_31,6H,6H,1,6_Trip1_H_HOL,2309331,6_Trip8_H_HOL,2309331
1200000,c_20909_b_none_d_31,6SP,6SP,1,6_Trip1_SP_HOL,2309331,6_Trip6_SP_HOL,2309331
1300000,c_20909_b_none_d_31,7SP,7SP,1,7_Trip1_SP_HOL,2309331,7_Trip6_SP_HOL,2309331
1400000,c_20909_b_none_d_31,8SP,8SP,1,8_Trip1_SP_HOL,2309331,8_Trip6_SP_HOL,2309331
1500000,c_24016_b_33759_d_31,1,1,1,1_Trip1_H_COVID,2318572,1_Trip11_H_COVID,2309331
1600000,c_24016_b_33759_d_31,10,10,1,10_Trip1_SP,2309331,10_Trip9_SP,2309331
1700000,c_24016_b_33759_d_31,11,11,1,11_Trip1_SP,2309331,11_Trip7_SP,2309331
1800000,c_24016_b_33759_d_31,12,12,1,12_Trip1_SP,2309331,12_Trip9_SP,2319634
1900000,c_24016_b_33759_d_31,13,13,1,13_Trip1_SP,2309331,13_Trip9_SP,2319634
200000,c_20909_b_none_d_31,1SP,1SP,1,1_Trip1_SP_HOL,2309331,1_Trip7_SP_HOL,2309331
2000000,c_24016_b_33759_d_31,14,14,1,14_Trip1_SP,2309331,14_Trip8_SP,2319634
2100000,c_24016_b_33759_d_31,15,15,1,15_Trip1_SP,2309331,15_Trip7_SP,2309331
2200000,c_24016_b_33759_d_31,2,2,1,2_Trip1_H_COVID,2309331,2_Trip10_H_COVID,2309331
2300000,c_24016_b_33759_d_31,3,3,1,3_Trip1_H_COVID,2309331,3_Trip10_H_COVID,2309331
2400000,c_24016_b_33759_d_31,4,4,1,4_Trip1_H_COVID,2309331,4_Trip10_H_COVID,2309331
2500000,c_24016_b_33759_d_31,5,5,1,5_Trip1_H_COVID,2309331,5_Trip9_H_COVID,2318571
2600000,c_24016_b_33759_d_31,6,6,1,6_Trip1_H_COVID,2309331,6_Trip9_H_COVID,2318571
2700000,c_24016_b_33759_d_31,7,7,1,7_Trip1_H_COVID,2309331,7_Trip9_H_COVID,2318571
2800000,c_24016_b_33759_d_31,8,8,1,8_Trip1_SP,2309331,8_Trip8_SP,2309331
2900000,c_24016_b_33759_d_31,9,9,1,9_Trip1_SP,2309331,9_Trip8_SP,2309331
300000,c_20909_b_none_d_31,2H,2H,1,2_Trip1_H_HOL,2309331,2_Trip9_H_HOL,2309331
3000000,c_24016_b_33759_d_32,24,24,1,24_Trip1_SP,2309331,24_Trip5_SP,2309331
3100000,c_24016_b_33759_d_32,25,25,1,25_Trip1_SP,2309331,25_Trip5_SP,2309331
3200000,c_24016_b_33759_d_32,26,26,1,26_Trip1_SP,2309331,26_Trip5_SP,2309331
3300000,c_24016_b_33759_d_32,27,27,1,27_Trip1_SP,2309331,27_Trip8_SP,2319634
3400000,c_24016_b_33759_d_32,28,28,1,28_Trip1_SP,2309331,28_Trip8_SP,2319634
3500000,c_24016_b_33759_d_32,29,29,1,29_Trip1_SP,2309331,29_Trip8_SP,2319634
3600000,c_24016_b_33759_d_32,30,30,1,30_Trip1_SP,2309331,30_Trip5_SP,2309331
3700000,c_24016_b_33759_d_64,31,31,1,31_Trip1_SP,2309331,31_Trip9_SP,2309331
3800000,c_24016_b_33759_d_64,32,32,1,32_Trip1_SP,2309331,32_Trip9_SP,2309331
3900000,c_24016_b_33759_d_64,33,33,1,33_Trip1_SP,2309331,33_Trip9_SP,2309331
400000,c_20909_b_none_d_31,2SP,2SP,1,2_Trip1_SP_HOL,2309331,2_Trip7_SP_HOL,2309331
4000000,c_24016_b_33759_d_64,37,37,1,37_Trip1_SP,2309331,37_Trip4_SP,2309331
4100000,c_67764_b_none_d_32,24,24,1,24_Trip1_SP_Hol Eve,2309331,24_Trip5_SP_Hol Eve,2309331
4200000,c_67764_b_none_d_32,25,25,1,25_Trip1_SP_Hol Eve,2309331,25_Trip5_SP_Hol Eve,2309331
4300000,c_67764_b_none_d_32,26,26,1,26_Trip1_SP_Hol Eve,2309331,26_Trip5_SP_Hol Eve,2309331
4400000,c_67764_b_none_d_32,27,27,1,27_Trip1_SP_Hol Eve,2309331,27_Trip6_SP_Hol Eve,2309331
4500000,c_67764_b_none_d_32,28,28,1,28_Trip1_SP_Hol Eve,2309331,28_Trip6_SP_Hol Eve,2309331
4600000,c_67764_b_none_d_32,29,29,1,29_Trip1_SP_Hol Eve,2309331,29_Trip5_SP_Hol Eve,2309331
4700000,c_67764_b_none_d_32,30,30,1,30_Trip1_SP_Hol Eve,2309331,30_Trip5_SP_Hol Eve,2309331
500000,c_20909_b_none_d_31,3H,3H,1,3_Trip1_H_HOL,2309331,3_Trip9_H_HOL,2309331
600000,c_20909_b_none_d_31,3SP,3SP,1,3_Trip1_SP_HOL,2309331,3_Trip7_SP_HOL,2309331
700000,c_20909_b_none_d_31,4H,4H,1,4_Trip1_H_HOL,2309331,4_Trip9_H_HOL,2309331
800000,c_20909_b_none_d_31,4SP,4SP,1,4_Trip1_SP_HOL,2309331,4_Trip7_SP_HOL,2309331
900000,c_20909_b_none_d_31,5H,5H,1,5_Trip1_H_HOL,2309331,5_Trip9_H_HOL,2309331
