stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2335944,75552,,Pennsylvania Ave and Civic Center Dr,Farside,38.253692473776,-122.0497035423,116,,0,,America/Los_Angeles,,,1,Pennsylvania Avenue and Civic Center Drive 
2436157,75555,,Fairfield Vacaville Train Station,,38.2857589681473,-121.968471667404,116,,0,,America/Los_Angeles,,,1,Fairfield Vacaville Train Station 
2436313,75556,,Montebello Vista Park,Montebello Dr and Arroyo Grande Lane,38.2486116951781,-121.982274950059,116,,0,,America/Los_Angeles,,,0,mon te bell O vista Park 
2455430,75576,,Suisun Valley Rd and Westamerica Dr,,38.229544,-122.12914,116,,0,,America/Los_Angeles,,,1,Sue Soon Valley Road and West America Drive
2455431,75577,,Suisun Valley Rd and Kaiser Dr,,38.229214,-122.128789,116,,0,,America/Los_Angeles,,,1,Sue soon Valley Road and Kaiser Drive 
2455473,75578,,Vaca Valley Parkway,Northbound Stop for Blue Line,38.3917815045997,-121.943150001674,666,,0,,America/Los_Angeles,,,1,Vaca Valley Park Way
2455474,75579,,Vaca Valley Parkway,Southbound stop for Blue Line,38.392253615262,-121.943014426121,666,,0,,America/Los_Angeles,,,1,Vaca Valley Park way 
2455475,75580,,Sacramento Valley Station,,38.584657,-121.501564,664,,0,,America/Los_Angeles,,,1,
2501905,75557,,Pennsylvania Ave and Utah St,,38.254344869725,-122.050063267809,116,,0,,America/Los_Angeles,,,1,Pennsylvania Avenue and Utah Street
2617959,75558,,Buena Vista Ave and Rio Verde,,38.24738354768,-122.029754332603,116,,0,,America/Los_Angeles,,,0,Buena Vista Avenue and Ree  Oh Vair Day 
2618156,75559,,NorthBay Medical Center,,38.2611032491802,-122.047023451033,116,,0,,America/Los_Angeles,,,0,North Bay Medical Center
2618157,75560,,B Gale Wilson Boulevard and Dana Drive,,38.2610677019907,-122.046204264959,116,,0,,America/Los_Angeles,,,0,B Gale Wilson Boulevard and Dana Drive
2751008,75399,,Walnut Creek BART,,37.9054657031497,-122.068621749365,669,,0,,America/Los_Angeles,,,1,Wall Nut Creek Bart
28539,75001,,Tabor Ave and Bristol Ln,Far-Side  Blue Shelter with trashcan and solar kit,38.2654671869,-122.0482597769,116,,0,,America/Los_Angeles,,,0,
28540,75003,,Veterans Park - Fairfield Ave,Mid-Block  Green Shelter    Fairfield Avenue and Strat Ford Lane,38.2672566039,-122.0451509056,116,,0,,America/Los_Angeles,,,0,Veterans Park on Fairfield Avenue
28541,75005,,Heath Dr and Breton Dr,Mid-Block,38.2708775512895,-122.042875134267,116,,0,,America/Los_Angeles,,,0,Heath Drive and Breton Drive
28542,75007,,N Texas St and Alaska Ave,Far-Side,38.2710968998384,-122.034216865007,116,,0,,America/Los_Angeles,,,0,North Texas Street and Alaska Avenue 
28543,75008,,N Texas St and Pacific Ave,Far-Side,38.2681651369,-122.0342992228,116,,0,,America/Los_Angeles,,,0,North Texas Street and Pacific Avenue
28544,75009,,N Texas St and E Tabor Ave,Mid-Block,38.2660116589,-122.0343116592,116,,0,,America/Los_Angeles,,,0,North Texas Street and East Tabor Avenue
28545,75010,,N Texas St and Acacia Street,Far-Side  Blue Shelter with trashcan,38.263564232656,-122.034290549943,116,,0,,America/Los_Angeles,,,0,N Texas Street and Uh Kay Sha Street
28546,75012,,N Texas St and Travis Blvd,Near-Side,38.2588162058,-122.0343623656,116,,0,,America/Los_Angeles,,,0,North Texas Street and Travis Boulevard
28547,75013,,Travis Blvd and Clay St,,38.2583764531087,-122.038544444997,116,,0,,America/Los_Angeles,,,0,Travis Boulevard and Clay Street
28548,75014,,Union Ave and Kennedy Ct,Near-Side Across from Lee Bell Park,38.2572072425568,-122.04050005561,116,,0,,America/Los_Angeles,,,0,Union Avenue and Kennedy Court
28549,75015,,Union Ave and Carpenter St,Far-Side  Green Shelter,38.253285,-122.040579,116,,0,,America/Los_Angeles,,,0,Union Avenue and Carpenter Street
28550,75016,,Kentucky St and Union Ave,Mid-Block  Blue Shelter with trashcan and Solar Kit,38.2514988120246,-122.040834071388,116,,0,,America/Los_Angeles,,,0,Kentucky Street and Union Avenue
28551,75017,,Kentucky St and Webster St,Near-Side,38.2515409158858,-122.04388500616,116,,0,,America/Los_Angeles,,,0,Kentucky Street and Webster Street
28552,75018,,Fairfield Civic Center,Mid-Block  Blue Shelter,38.251529375,-122.04636848,116,,0,,America/Los_Angeles,,,0,Fairfield Civic Center 
28553,75020,,Pennsylvania Ave and Kansas St,Near-Side,38.2573958211,-122.050049575,116,,0,,America/Los_Angeles,,,0,Pennsylvania Avenue and Kansas Street
28554,75024,,Union Ave and Louisiana St,Far-Side  Blue shelter with trashcan and solar kit,38.2527190122,-122.0403596222,116,,0,,America/Los_Angeles,,,0,Union Avenue and Louisiana Street
28555,75025,,Lee Bell Park,Travis Blvd and Washington St,38.2582118725806,-122.039416084102,116,,0,,America/Los_Angeles,,,0,Lee Bell Park
28556,75026,,Travis Blvd and Clay St,,38.2582192374071,-122.03776894168,116,,0,,America/Los_Angeles,,,0,Travis Boulevard and Clay Street
28558,75027,,N Texas St and E Travis Blvd,Far-Side,38.2591160358,-122.0340616456,116,,0,,America/Los_Angeles,,,0,North Texas Street and East Travis Boulevard
28559,75029,,N Texas Street and Acacia Street,Near-Side  Blue Shelter with trashcan and solar kit         Mexico Meat Market,38.2638828445267,-122.034139810668,116,,0,,America/Los_Angeles,,,0,North Texas Street and Uh kay Sha Street
28560,75030,,N Texas St and E Tabor Ave,Mid-Block,38.2669939428,-122.0340608306,116,,0,,America/Los_Angeles,,,0,North Texas Street and East Tabor Avenue
28561,75031,,N Texas St and E Pacific Ave,Far-Side,38.2694943886,-122.0340330825,116,,0,,America/Los_Angeles,,,0,North Texas Street and East Pacific Avenue 
28562,75032,,N Texas St and Alaska Ave,Far-Side,38.2717898957798,-122.034035959311,116,,0,,America/Los_Angeles,,,0,North Texas and Alaska Avenue
28563,75033,,N Texas St and Air Base Parkway,Far-Side  - Past Bank of America building,38.2746419717,-122.0339769322,116,,0,,America/Los_Angeles,,,0,North Texas Street and Air Base Parkway
28564,75034,,Heath Dr and Breton Dr,Near-Side  Green Shelter with trashcan,38.2709621981,-122.0429714122,116,,0,,America/Los_Angeles,,,0,Heath Drive and Breton Drive 
28565,75035,,Pacific Ave and Fairfield Ave,Far-Side,38.2685910256803,-122.0447717265,116,,0,,America/Los_Angeles,,,0,Pacific Avenue and Fairfield Avenue
28566,75036,,Tabor Ave and Cambridge Dr,,38.2655928986,-122.0482143308,116,,0,,America/Los_Angeles,,,0,
28567,75038,,E Tabor Ave and Kidder Ave,,38.2655013255762,-122.029917307858,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Kidder Avenue
28568,75039,,E Tabor Ave and Dover Ave,Far-Side,38.2653877704257,-122.024557797672,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Dover Avenue
28569,75040,,E Tabor Ave and Sunset Ave,Far-Side,38.2653138364141,-122.020269487468,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Sunset Avenue
28570,75041,,Grange Middle School,Far-Side,38.265238343604,-122.016867752233,116,,0,,America/Los_Angeles,,,0,Grange Middle School
28571,75043,,E Tabor Ave and Manor Place,Far-Side,38.2651865879871,-122.012748299987,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Manor Place
28572,75044,,E Tabor Ave and Grande Cir,Far-Side,38.2651648226604,-122.008862875643,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Grande Circle
28574,75046,,E Tabor Ave and Tolenas Rd,Mid-Block,38.2649637041798,-121.996817325983,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Toe Lean Is  Road
28575,75047,,E Tabor Ave and Solano Rd,Far-Side,38.2649197313688,-121.992800707245,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and So Lawn No Road 
28576,75048,,Walters Rd and E Tabor Ave,Far-Side,38.2654539361,-121.9878827828,116,,0,,America/Los_Angeles,,,0,Walters Road and East Tabor Avenue
28579,75051,,Walters Rd and Walters Ct,Far-Side,38.2692436142,-121.9881212517,116,,0,,America/Los_Angeles,,,0,Walters Road and Walters Court
28580,75052,,Walters Rd and Granada Dr,Far-Side  Brown Shelter,38.2670881444,-121.9881483578,116,,0,,America/Los_Angeles,,,0,Walters Road and Granada Drive
28581,75053,,E Tabor Ave and Solano Rd,Far-Side,38.265013957512,-121.993853874339,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and So Lawn No  Road
28582,75054,,E Tabor Ave and Tolenas Rd,Far-Side,38.2650638317,-121.9990015808,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Toe Lean Is  Road
28583,75055,,E Tabor Ave and Davis Dr,Far-Side,38.2650949336297,-122.002003840973,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Davis Drive
28584,75056,,E Tabor Ave and Villa Ct,Far-Side,38.265215804309,-122.008736404437,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Villa Court
28585,75057,,Tabor Park,Mid-Block  Blue Shelter with solar kit,38.265284650324,-122.013414277366,116,,0,,America/Los_Angeles,,,0,Tay Bore Park 
28586,75058,,Grange Middle School,Far-Side,38.2653681826168,-122.017804094548,116,,0,,America/Los_Angeles,,,0,
28587,75059,,E Tabor Ave and Cardinal Way,Far-Side,38.2654135054538,-122.021868741095,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Cardinal Way 
28588,75060,,E Tabor Ave and Dover Ave,Far-Side,38.2654748089765,-122.025499234406,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and Dover Avenue
28589,75061,,E Tabor Ave and San Salvador St,Mid-Block,38.2655439624298,-122.029340626033,116,,0,,America/Los_Angeles,,,0,East Tabor Avenue and San Salvador Street
28590,75065,,E Travis Blvd and Dover Avenue,,38.2583076017507,-122.025753769154,116,,0,,America/Los_Angeles,,,0,East Travis Boulevard and Dover Avenue
28591,75066,,E Travis Blvd and Kidder Ave,,38.258294609196,-122.029669452711,116,,0,,America/Los_Angeles,,,0,East Travis Boulevard and Kidder Avenue
28592,75067,,E Travis Blvd and Chamberlain Dr,,38.2583223506015,-122.032121588677,116,,0,,America/Los_Angeles,,,0,East Travis Boulevard and Chamber lynn Drive
28593,75069,,N Texas Street and Bell Avenue,Far-Side,38.2546747907105,-122.034418237752,116,,0,,America/Los_Angeles,,,0,North Texas Street and Bell Avenue
28594,75070,,N Texas St and E Tennessee St,Mid-Block,38.2528299372,-122.0343339922,116,,0,,America/Los_Angeles,,,0,North Texas Street and East Tennessee Street
28595,75071,,Texas St and Clay St,Mid-Block,38.2492930358,-122.0373054133,116,,0,,America/Los_Angeles,,,0,Texas Street and Clay Street
28596,75074,,Webster St and Kentucky St,Far-Side,38.2507963782668,-122.043285250683,116,,0,,America/Los_Angeles,,,0,Webster Street and Kentucky Street
28597,75076,,W Texas St and Pennsylvania Ave,Far-Side,38.2493457311,-122.0505732108,116,,0,,America/Los_Angeles,,,0,West Texas Street and Pennsylvania Avenue
28598,75080,,Woolner Ave and Vine Dr,,38.245281135,-122.0638031464,116,,0,,America/Los_Angeles,,,0,Wool Ner Avenue and Vine Drive
