shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
AIF0007,-122.393763,37.796533,10001,
AIF0007,-122.39376,37.796534,10002,
AIF0007,-122.392975,37.796785,10003,
AIF0007,-122.391277,37.797784,10004,
AIF0007,-122.390477,37.79835,10005,
AIF0007,-122.39011,37.798966,10006,
AIF0007,-122.389649,37.7999,10007,
AIF0007,-122.389568,37.800065,10008,
AIF0007,-122.389127,37.80138,10009,
AIF0007,-122.389009,37.802126,10010,
AIF0007,-122.388918,37.802691,10011,
AIF0007,-122.388912,37.802756,10012,
AIF0007,-122.388912,37.802808,10013,
AIF0007,-122.388974,37.803553,10014,
AIF0007,-122.389016,37.804051,10015,
AIF0007,-122.389072,37.80426,10016,
AIF0007,-122.389368,37.805355,10017,
AIF0007,-122.38941,37.805514,10018,
AIF0007,-122.389933,37.80656,10019,
AIF0007,-122.390096,37.806887,10020,
AIF0007,-122.390609,37.807693,10021,
AIF0007,-122.390878,37.808121,10022,
AIF0007,-122.390952,37.808218,10023,
AIF0007,-122.391299,37.808607,10024,
AIF0007,-122.391872,37.809243,10025,
AIF0007,-122.392618,37.81007,10026,
AIF0007,-122.392738,37.810188,10027,
AIF0007,-122.393286,37.810715,10028,
AIF0007,-122.394051,37.811451,10029,
AIF0007,-122.394758,37.812133,10030,
AIF0007,-122.39509,37.812454,10031,
AIF0007,-122.395355,37.812698,10032,
AIF0007,-122.39657,37.813805,10033,
AIF0007,-122.397664,37.814802,10034,
AIF0007,-122.398311,37.815391,10035,
AIF0007,-122.39878,37.815823,10036,
AIF0007,-122.399272,37.816243,10037,
AIF0007,-122.400337,37.817152,10038,
AIF0007,-122.400568,37.817349,10039,
AIF0007,-122.402152,37.8187,10040,
AIF0007,-122.403529,37.819877,10041,
AIF0007,-122.405106,37.82122,10042,
AIF0007,-122.406116,37.822082,10043,
AIF0007,-122.406761,37.822636,10044,
AIF0007,-122.407824,37.823467,10045,
AIF0007,-122.409135,37.824492,10046,
AIF0007,-122.410046,37.825203,10047,
AIF0007,-122.410104,37.825245,10048,
AIF0007,-122.411685,37.826322,10049,
AIF0007,-122.412622,37.826965,10050,
AIF0007,-122.413349,37.827465,10051,
AIF0007,-122.413523,37.827573,10052,
AIF0007,-122.414877,37.828418,10053,
