route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
LF,78946,8599201,South,1,1686729,LF0038,,,
LF,72813,8758841,South,1,1703343,LF0038,,,
LF,72813,8758873,South,1,1703342,LF0038,,,
LF,79603,8567754,South,1,1682608,Golden_Gate_Ferry152:LF0038,,,
LF,78946,8723642,South,1,1701389,LF0038,,,
LF,72813,8758855,South,1,1703343,LF0038,,,
LF,79603,8567768,South,1,1682607,Golden_Gate_Ferry152:LF0038,,,
LF,78946,8599215,South,1,1686729,LF0038,,,
LF,78947,8599284,South,1,1686736,LF0038,,,
LF,78945,8599336,South,1,1686742,LF0038,,,
LF,76504,8758919,South,1,1703349,LF0038,,,
LF,79604,8567837,South,1,1682614,Golden_Gate_Ferry152:LF0038,,,
LF,76707,8758953,South,1,1703354,LF0038,,,
LF,79605,8567889,South,1,1682620,Golden_Gate_Ferry152:LF0038,,,
LF,79603,8567755,South,1,1682608,Golden_Gate_Ferry152:LF0038,,,
LF,72813,8758842,South,1,1703342,LF0038,,,
LF,78946,8599202,South,1,1701389,LF0038,,,
LF,72813,8758856,South,1,1703343,LF0038,,,
LF,78946,8599216,South,1,1686729,LF0038,,,
LF,79603,8567769,South,1,1682607,Golden_Gate_Ferry152:LF0038,,,
LF,78945,8599337,South,1,1686741,LF0038,,,
LF,79605,8567890,South,1,1682619,Golden_Gate_Ferry152:LF0038,,,
LF,78947,8599276,South,1,1686735,LF0038,,,
LF,79604,8567829,South,1,1682613,Golden_Gate_Ferry152:LF0038,,,
LF,76504,8758912,South,1,1703348,LF0038,,,
LF,76707,8758954,South,1,1703353,LF0038,,,
LF,78946,8599203,South,1,1701389,LF0038,,,
LF,79603,8567756,South,1,1682608,Golden_Gate_Ferry152:LF0038,,,
LF,72813,8758843,South,1,1703342,LF0038,,,
LF,78946,8723643,South,1,1686729,LF0038,,,
LF,76707,8758955,South,1,1703354,LF0038,,,
LF,79604,8567830,South,1,1682614,Golden_Gate_Ferry152:LF0038,,,
LF,76504,8758913,South,1,1703349,LF0038,,,
LF,72813,8758874,South,1,1703343,LF0038,,,
LF,78947,8599277,South,1,1686736,LF0038,,,
LF,78945,8599338,South,1,1686742,LF0038,,,
LF,79605,8567891,South,1,1682620,Golden_Gate_Ferry152:LF0038,,,
LF,79603,8567757,South,1,1682607,Golden_Gate_Ferry152:LF0038,,,
LF,79605,8567892,South,1,1682621,Golden_Gate_Ferry152:LF0038,,,
LF,79604,8567831,South,1,1682615,Golden_Gate_Ferry152:LF0038,,,
LF,78946,8599204,South,1,1701389,LF0038,,,
LF,72813,8758844,South,1,1703342,LF0038,,,
LF,76707,8758958,South,1,1703354,LF0038,,,
LF,78947,8599286,South,1,1686736,LF0038,,,
LF,79604,8567839,South,1,1682614,Golden_Gate_Ferry152:LF0038,,,
LF,79605,8567895,South,1,1682620,Golden_Gate_Ferry152:LF0038,,,
LF,76504,8758921,South,1,1703349,LF0038,,,
LF,72813,8758869,South,1,1703343,LF0038,,,
LF,78945,8599342,South,1,1686742,LF0038,,,
LF,78946,8599229,South,1,1686729,LF0038,,,
LF,79603,8567782,South,1,1682607,Golden_Gate_Ferry152:LF0038,,,
LF,78946,8599220,South,1,1701389,LF0038,,,
LF,72813,8758860,South,1,1703342,LF0038,,,
LF,79603,8567773,South,1,1682607,Golden_Gate_Ferry152:LF0038,,,
LF,78945,8599341,South,1,1686742,LF0038,,,
LF,79604,8567840,South,1,1682614,Golden_Gate_Ferry152:LF0038,,,
LF,79605,8567894,South,1,1682620,Golden_Gate_Ferry152:LF0038,,,
LF,76707,8758957,South,1,1703354,LF0038,,,
LF,78947,8599287,South,1,1686736,LF0038,,,
LF,76504,8758922,South,1,1703349,LF0038,,,
LF,78946,8599226,South,1,1686729,LF0038,,,
LF,72813,8758866,South,1,1703343,LF0038,,,
LF,79603,8567779,South,1,1682608,Golden_Gate_Ferry152:LF0038,,,
LF,76707,8758956,South,1,1703354,LF0038,,,
