trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
8584008,06:22:00,06:22:00,40003,1,0,0
8584008,06:23:00,06:23:00,42206,2,0,0
8584008,06:24:00,06:24:00,42207,3,0,0
8584008,06:25:00,06:25:00,42208,4,0,0
8584008,06:26:00,06:26:00,42199,5,0,0
8584008,06:27:00,06:27:00,42209,6,0,0
8584008,06:32:00,06:32:00,42253,7,0,0
8584008,06:33:00,06:33:00,40024,8,0,0
8584008,06:34:00,06:34:00,42243,9,0,0
8584008,06:35:00,06:35:00,40026,10,0,0
8584008,06:36:00,06:36:00,40028,11,0,0
8584008,06:36:00,06:36:00,40030,12,0,0
8584008,06:37:00,06:37:00,42250,13,0,0
8584008,06:38:00,06:38:00,40078,14,0,0
8584008,06:38:00,06:38:00,40032,15,0,0
8584008,06:41:00,06:41:00,40034,16,0,0
8584008,06:44:00,06:44:00,40036,17,0,0
8584008,06:50:00,06:50:00,40038,18,0,0
8584008,06:57:00,06:57:00,40111,19,0,0
8584008,06:57:00,06:57:00,40112,20,0,0
8584008,07:10:00,07:15:00,44001,21,0,0
8584008,07:28:00,07:28:00,41098,22,0,0
8584008,07:29:00,07:29:00,40699,23,0,0
8584008,07:29:00,07:29:00,40697,24,0,0
8584008,07:30:00,07:30:00,40695,25,0,0
8584008,07:31:00,07:31:00,41047,26,0,0
8584008,07:47:00,07:47:00,42036,27,0,0
8584008,07:47:00,07:47:00,41218,28,0,0
8584008,07:48:00,07:48:00,40841,29,0,0
8584008,07:49:00,07:49:00,40838,30,0,0
8584008,07:50:00,07:50:00,41209,31,0,0
8584008,07:50:00,07:50:00,41206,32,0,0
8584008,07:51:00,07:51:00,41228,33,0,0
8584008,07:51:00,07:51:00,41208,34,0,0
8584008,08:03:00,08:03:00,40917,35,0,0
8584008,08:04:00,08:04:00,40912,36,0,0
8584008,08:04:00,08:04:00,40910,37,0,0
8584008,08:05:00,08:05:00,40914,38,0,0
8584008,08:07:00,08:07:00,42042,39,0,0
8584008,08:07:00,08:07:00,40892,40,0,0
8584008,08:08:00,08:08:00,40890,41,0,0
8584008,08:08:00,08:08:00,42039,42,0,0
8584008,08:20:00,08:20:00,42126,43,0,0
8584008,08:27:00,08:27:00,40951,44,0,0
8584008,08:28:00,08:28:00,40949,45,0,0
8584009,07:22:00,07:22:00,40003,1,0,0
8584009,07:23:00,07:23:00,42206,2,0,0
8584009,07:24:00,07:24:00,42207,3,0,0
