route_id,service_id,trip_id,trip_headsign,direction_id,block_id,trip_short_name,shape_id
101-248,23-09-SEP-01-SAT-Saturday-04,8584008,Route 101 Northbound - Santa Rosa,0,1502,01502,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584009,Route 101 Northbound - Santa Rosa,0,1504,01504,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584010,Route 101 Northbound - Santa Rosa,0,1507,01506,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584011,Route 101 Northbound - Santa Rosa,0,1508,01508,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584012,Route 101 Northbound - Santa Rosa,0,1509,01510,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584013,Route 101 Northbound - Santa Rosa,0,3506,01514,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584014,Route 101 Northbound - Santa Rosa,0,1502,01516,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584015,Route 101 Northbound - Santa Rosa,0,1504,01518,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584016,Route 101 Northbound - Santa Rosa,0,1507,01520,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584017,Route 101 Northbound - Santa Rosa,0,1508,01522,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584018,Route 101 Northbound - Santa Rosa,0,1509,01524,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584019,Route 101 Northbound - Santa Rosa,0,3505,01512,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584020,Route 101 Northbound - Santa Rosa,0,3502,01536,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584021,Route 101 Northbound - Santa Rosa,0,3509,01534,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584022,Route 101 Northbound - Santa Rosa,0,3508,01532,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584023,Route 101 Northbound - Santa Rosa,0,3507,01530,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584024,Route 101 Northbound - Santa Rosa,0,3505,01526,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584025,Route 101 Northbound - Santa Rosa,0,3506,01528,1010485
101-248,23-09-SEP-01-SAT-Saturday-04,8584026,Route 101 Southbound - San Francisco,1,3501,01501,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584027,Route 101 Southbound - San Francisco,1,3502,01503,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584028,Route 101 Southbound - San Francisco,1,3503,01505,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584029,Route 101 Southbound - San Francisco,1,3504,01507,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584030,Route 101 Southbound - San Francisco,1,3505,01509,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584031,Route 101 Southbound - San Francisco,1,3506,01511,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584032,Route 101 Southbound - San Francisco,1,1502,01513,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584033,Route 101 Southbound - San Francisco,1,1504,01515,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584034,Route 101 Southbound - San Francisco,1,1507,01517,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584035,Route 101 Southbound - San Francisco,1,1508,01519,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584036,Route 101 Southbound - San Francisco,1,1509,01521,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584037,Route 101 Southbound - San Francisco,1,3505,01523,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584038,Route 101 Southbound - San Francisco,1,3506,01525,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584039,Route 101 Southbound - San Francisco,1,3507,01527,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584040,Route 101 Southbound - San Francisco,1,3508,01529,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584041,Route 101 Southbound - San Francisco,1,3509,01531,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584042,Route 101 Southbound - San Francisco,1,1508,01533,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584043,Route 101 Southbound - San Francisco,1,1509,01535,1010488
101-248,23-09-SEP-01-SAT-Saturday-04,8584044,Route 101 Southbound - San Francisco,1,3510,01537,1010488
130-248,23-09-SEP-01-SAT-Saturday-04,8584045,Route 130 Northbound - San Rafael,0,1501,30502,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584046,Route 130 Northbound - San Rafael,0,3501,30504,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584047,Route 130 Northbound - San Rafael,0,3502,30506,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584048,Route 130 Northbound - San Rafael,0,1506,30508,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584049,Route 130 Northbound - San Rafael,0,1501,30510,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584050,Route 130 Northbound - San Rafael,0,3501,30512,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584051,Route 130 Northbound - San Rafael,0,3502,30514,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584052,Route 130 Northbound - San Rafael,0,1506,30516,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584053,Route 130 Northbound - San Rafael,0,1501,30518,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584054,Route 130 Northbound - San Rafael,0,3501,30520,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584055,Route 130 Northbound - San Rafael,0,3502,30522,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584056,Route 130 Northbound - San Rafael,0,1506,30524,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584057,Route 130 Northbound - San Rafael,0,1501,30526,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584058,Route 130 Northbound - San Rafael,0,1510,30528,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584059,Route 130 Northbound - San Rafael,0,3502,30530,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584060,Route 130 Northbound - San Rafael,0,1506,30532,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584061,Route 130 Northbound - San Rafael,0,1501,30534,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584062,Route 130 Northbound - San Rafael,0,1510,30536,1300067
130-248,23-09-SEP-01-SAT-Saturday-04,8584063,Route 130 Southbound - San Francisco,1,1504,30501,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584064,Route 130 Southbound - San Francisco,1,1506,30503,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584065,Route 130 Southbound - San Francisco,1,1501,30505,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584066,Route 130 Southbound - San Francisco,1,3501,30507,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584067,Route 130 Southbound - San Francisco,1,3502,30509,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584068,Route 130 Southbound - San Francisco,1,1506,30511,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584069,Route 130 Southbound - San Francisco,1,1501,30513,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584070,Route 130 Southbound - San Francisco,1,3501,30515,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584071,Route 130 Southbound - San Francisco,1,3502,30517,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584072,Route 130 Southbound - San Francisco,1,1506,30519,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584073,Route 130 Southbound - San Francisco,1,1501,30521,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584074,Route 130 Southbound - San Francisco,1,3501,30523,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584075,Route 130 Southbound - San Francisco,1,3502,30525,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584076,Route 130 Southbound - San Francisco,1,1506,30527,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584077,Route 130 Southbound - San Francisco,1,1501,30529,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584078,Route 130 Southbound - San Francisco,1,1510,30531,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584079,Route 130 Southbound - San Francisco,1,3502,30533,1300064
130-248,23-09-SEP-01-SAT-Saturday-04,8584080,Route 130 Southbound - San Francisco,1,1506,30535,1300064
580-248,23-09-SEP-01-SAT-Saturday-04,8584081,Route 580 Eastbound - El Cerrito del Norte BART,0,1503,80501,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584082,Route 580 Eastbound - El Cerrito del Norte BART,0,1505,80503,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584083,Route 580 Eastbound - El Cerrito del Norte BART,0,1503,80505,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584084,Route 580 Eastbound - El Cerrito del Norte BART,0,1505,80507,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584085,Route 580 Eastbound - El Cerrito del Norte BART,0,1503,80509,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584086,Route 580 Eastbound - El Cerrito del Norte BART,0,1505,80511,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584087,Route 580 Eastbound - El Cerrito del Norte BART,0,1503,80513,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584088,Route 580 Eastbound - El Cerrito del Norte BART,0,1505,80515,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584089,Route 580 Eastbound - El Cerrito del Norte BART,0,1503,80517,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584090,Route 580 Eastbound - El Cerrito del Norte BART,0,1505,80519,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584091,Route 580 Eastbound - El Cerrito del Norte BART,0,1503,80521,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584092,Route 580 Eastbound - El Cerrito del Norte BART,0,1505,80523,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584093,Route 580 Eastbound - El Cerrito del Norte BART,0,1503,80525,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584094,Route 580 Westbound - San Rafael,1,1503,80502,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584095,Route 580 Westbound - San Rafael,1,1505,80504,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584096,Route 580 Westbound - San Rafael,1,1503,80506,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584097,Route 580 Westbound - San Rafael,1,1505,80508,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584098,Route 580 Westbound - San Rafael,1,1503,80510,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584099,Route 580 Westbound - San Rafael,1,1505,80512,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584100,Route 580 Westbound - San Rafael,1,1503,80514,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584101,Route 580 Westbound - San Rafael,1,1505,80516,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584102,Route 580 Westbound - San Rafael,1,1503,80518,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584103,Route 580 Westbound - San Rafael,1,1505,80520,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584104,Route 580 Westbound - San Rafael,1,1503,80522,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584105,Route 580 Westbound - San Rafael,1,1505,80524,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584106,Route 580 Westbound - San Rafael,1,1503,80526,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584107,Route 580 Westbound - San Rafael,1,1505,80528,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584108,Route 580 Westbound - San Rafael,1,1503,80530,5800038
580-248,23-09-SEP-01-SAT-Saturday-04,8584109,Route 580 Eastbound - El Cerrito del Norte BART,0,1503,80529,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584110,Route 580 Eastbound - El Cerrito del Norte BART,0,1505,80527,5800039
580-248,23-09-SEP-01-SAT-Saturday-04,8584111,Route 580 Westbound - San Rafael,1,1505,80532,5800038
150-248,23-09-SEP-01-SAT-Saturday-04,8584112,Route 150 Northbound - San Rafael,0,3503,50502,1500052
150-248,23-09-SEP-01-SAT-Saturday-04,8584113,Route 150 Northbound - San Rafael,0,3504,50504,1500052
150-248,23-09-SEP-01-SAT-Saturday-04,8584114,Route 150 Northbound - San Rafael,0,1551,50506,1500052
150-248,23-09-SEP-01-SAT-Saturday-04,8584115,Route 150 Northbound - San Rafael,0,1510,50508,1500052
150-248,23-09-SEP-01-SAT-Saturday-04,8584116,Route 150 Northbound - San Rafael,0,3503,50510,1500052
150-248,23-09-SEP-01-SAT-Saturday-04,8584117,Route 150 Northbound - San Rafael,0,3504,50512,1500052
150-248,23-09-SEP-01-SAT-Saturday-04,8584118,Route 150 Northbound - San Rafael,0,1511,50514,1500052
150-248,23-09-SEP-01-SAT-Saturday-04,8584119,Route 150 Northbound - San Rafael,0,1510,50516,1500052
