stop_id,stop_city
27696,Rio Vista
27721,Rio Vista
27697,Rio Vista
1576,Suisun City
27692,Fairfield
27708,Rio Vista
27703,Rio Vista
27711,Rio Vista
27737,Rio Vista
27695,Rio Vista
2329723,Fairfield
27728,Rio Vista
27719,Rio Vista
27712,Rio Vista
1560,Fairfield
27687,Fairfield
27722,Rio Vista
1553,Suisun City
1562,Fairfield
27705,Rio Vista
2329722,Fairfield
13519,Isleton
27701,Rio Vista
27732,Rio Vista
1533,Fairfield
27693,Fairfield
1526,Rio Vista
1528,Fairfield
27699,Rio Vista
1540,Rio Vista Junction
27716,Rio Vista
27686,Fairfield
27726,Rio Vista
27734,Rio Vista
27736,Rio Vista
27698,Rio Vista
1531,Pittsburg
27730,Rio Vista
27690,Fairfield
27715,Rio Vista
27685,Fairfield
27700,Rio Vista
1538,Isleton
27688,Fairfield
27689,Fairfield
27720,Rio Vista
27694,Rio Vista
1537,Rio Vista
27702,Rio Vista
27718,Rio Vista
27733,Rio Vista
27709,Rio Vista
27735,Rio Vista
2803,Fairfield
27731,Rio Vista
27727,Rio Vista
1557,Rio Vista
27724,Rio Vista
1552,Rio Vista
27725,Rio Vista
27717,Rio Vista
27710,Rio Vista
9773,Fairfield
27723,Rio Vista
27738,Fairfield
27691,Antioch
27706,Rio Vista
27729,Rio Vista
27713,Rio Vista
27707,Rio Vista
