trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1460187_b_30254_tn_0,17:50:00,17:50:00,1533,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,2803,2,,2,3,451.110624134652,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27689,3,,2,3,2423.15327474208,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27690,4,,2,3,2716.78961302484,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,18:02:00,18:02:00,1528,5,,0,0,2947.59770433671,1,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,1560,6,,2,3,3495.25815891443,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,1562,7,,2,3,4227.88593425399,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,9773,8,,2,3,5513.84501392179,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,1553,9,,2,3,7507.73758351003,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,1576,10,,2,2,7668.32081345455,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,2329723,11,,2,2,13039.6293181229,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,1540,12,,2,3,25266.9584526256,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,1526,13,,2,3,39740.1246149338,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27706,14,,2,2,40335.4053643998,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27736,15,,2,3,40719.3949440869,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27732,16,,2,3,41605.6066926242,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27733,17,,2,3,41790.259543873,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27709,18,,2,3,41992.271898822,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27735,19,,2,3,42244.7726035239,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27737,20,,2,3,42598.4889400373,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27711,21,,2,3,43864.5734059532,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27712,22,,2,3,43998.2805843975,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27715,23,,2,2,44261.7455594028,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27716,24,,2,3,44461.3669335585,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27717,25,,2,3,45022.0524353905,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27731,26,,2,3,45548.6582655979,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27718,27,,2,3,45899.2903447279,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27719,28,,2,2,46067.2499477558,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27720,29,,2,3,46217.5770279882,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27721,30,,2,3,46466.1426499593,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27722,31,,2,3,46595.0078739188,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27723,32,,2,3,46799.9181068744,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,27724,33,,2,3,47191.9759839832,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,,,1537,34,,2,3,47433.6237501581,0,,,,,1,1,,,,,,,,,,,
t_1460187_b_30254_tn_0,19:00:00,19:00:00,1557,35,,0,0,47645.10915035,1,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,07:30:00,07:30:00,1557,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27694,2,,2,3,88.9315663636697,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27705,3,,2,3,496.894925410903,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27726,4,,2,3,652.683882091144,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27695,5,,2,3,879.088824862247,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27696,6,,2,3,967.222367323339,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,07:35:00,07:35:00,27697,7,,0,0,1246.02558002734,1,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27698,8,,2,3,1408.52044197893,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27699,9,,2,3,1707.90611462163,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27700,10,,2,3,2380.05180423024,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27701,11,,2,3,2865.42160453634,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,07:40:00,07:40:00,27727,12,,0,0,3027.62749389048,1,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27702,13,,2,3,3321.57177560451,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27703,14,,2,3,3450.18734683785,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27728,15,,2,3,4743.115291668,0,,,,,1,1,,,,,,,,,,,
t_1460188_b_30254_tn_0,,,27710,16,,2,3,5106.83253258537,0,,,,,1,1,,,,,,,,,,,
