service_id,service_description
144-Blocks-Weekday-51,Weekday
144-Blocks-Weekday-51-SDon,Weekday
144-Blocks-Weekday-51-SDon-1101100,Mon Tue Thu Fri
144-Blocks-Weekday-51-SDon-0010000,Wed
144-Blocks-Weekday-51-SDon-0001000,Thu
144-Blocks-Weekday-51-SDon-0100000,Tue
144-Blocks-Weekday-51-SDon-1011100,Mon Wed Thu Fri
144-Blocks-Weekday-51-SDon-0010100,Wed Fri
144-Blocks-Weekday-51-SDon-1101000,Mon Tue Thu
144-Blocks-Weekday-51-SDon-1110100,Mon Tue Wed Fri
144-Blocks-Weekday-51-SDon-1100100,Mon Tue Fri
144-Blocks-Weekday-51-SDon-0011000,Wed Thu
144-Blocks-Weekday-51-SDon-1000000,Mon
144-Blocks-Weekday-51-SDon-0101000,Tue Thu
144-Blocks-Saturday-51,Saturday
144-Blocks-Sunday-51,Sunday
