service_id,date,exception_type
144-Blocks-Weekday-51,20231225,2
144-Blocks-Weekday-51-SDon-1101100,20231225,2
144-Blocks-Weekday-51-SDon-0010000,20231225,2
144-Blocks-Weekday-51-SDon,20231225,2
144-Blocks-Weekday-51-SDon-0001000,20231225,2
144-Blocks-Weekday-51-SDon-0100000,20231225,2
144-Blocks-Weekday-51-SDon-1011100,20231225,2
144-Blocks-Weekday-51-SDon-0010100,20231225,2
144-Blocks-Weekday-51-SDon-1101000,20231225,2
144-Blocks-Weekday-51-SDon-1110100,20231225,2
144-Blocks-Weekday-51-SDon-1100100,20231225,2
144-Blocks-Weekday-51-SDon-0011000,20231225,2
144-Blocks-Weekday-51-SDon-1000000,20231225,2
144-Blocks-Weekday-51-SDon-0101000,20231225,2
144-Blocks-Weekday-51,20240101,2
144-Blocks-Weekday-51-SDon-1101100,20240101,2
144-Blocks-Weekday-51-SDon-0010000,20240101,2
144-Blocks-Weekday-51-SDon,20240101,2
144-Blocks-Weekday-51-SDon-0001000,20240101,2
144-Blocks-Weekday-51-SDon-0100000,20240101,2
144-Blocks-Weekday-51-SDon-1011100,20240101,2
144-Blocks-Weekday-51-SDon-0010100,20240101,2
144-Blocks-Weekday-51-SDon-1101000,20240101,2
144-Blocks-Weekday-51-SDon-1110100,20240101,2
144-Blocks-Weekday-51-SDon-1100100,20240101,2
144-Blocks-Weekday-51-SDon-0011000,20240101,2
144-Blocks-Weekday-51-SDon-1000000,20240101,2
144-Blocks-Weekday-51-SDon-0101000,20240101,2
144-Blocks-Weekday-51-SDon-1101100,20231226,2
144-Blocks-Weekday-51-SDon-0010000,20231226,2
144-Blocks-Weekday-51-SDon,20231226,2
144-Blocks-Weekday-51-SDon-0001000,20231226,2
144-Blocks-Weekday-51-SDon-0100000,20231226,2
144-Blocks-Weekday-51-SDon-1011100,20231226,2
144-Blocks-Weekday-51-SDon-0010100,20231226,2
144-Blocks-Weekday-51-SDon-1101000,20231226,2
144-Blocks-Weekday-51-SDon-1110100,20231226,2
144-Blocks-Weekday-51-SDon-1100100,20231226,2
144-Blocks-Weekday-51-SDon-0011000,20231226,2
144-Blocks-Weekday-51-SDon-1000000,20231226,2
144-Blocks-Weekday-51-SDon-0101000,20231226,2
144-Blocks-Weekday-51-SDon-1101100,20231227,2
144-Blocks-Weekday-51-SDon-0010000,20231227,2
144-Blocks-Weekday-51-SDon,20231227,2
144-Blocks-Weekday-51-SDon-0001000,20231227,2
144-Blocks-Weekday-51-SDon-0100000,20231227,2
144-Blocks-Weekday-51-SDon-1011100,20231227,2
144-Blocks-Weekday-51-SDon-0010100,20231227,2
144-Blocks-Weekday-51-SDon-1101000,20231227,2
144-Blocks-Weekday-51-SDon-1110100,20231227,2
144-Blocks-Weekday-51-SDon-1100100,20231227,2
144-Blocks-Weekday-51-SDon-0011000,20231227,2
144-Blocks-Weekday-51-SDon-1000000,20231227,2
144-Blocks-Weekday-51-SDon-0101000,20231227,2
144-Blocks-Weekday-51-SDon-1101100,20231228,2
144-Blocks-Weekday-51-SDon-0010000,20231228,2
144-Blocks-Weekday-51-SDon,20231228,2
144-Blocks-Weekday-51-SDon-0001000,20231228,2
144-Blocks-Weekday-51-SDon-0100000,20231228,2
144-Blocks-Weekday-51-SDon-1011100,20231228,2
144-Blocks-Weekday-51-SDon-0010100,20231228,2
144-Blocks-Weekday-51-SDon-1101000,20231228,2
144-Blocks-Weekday-51-SDon-1110100,20231228,2
144-Blocks-Weekday-51-SDon-1100100,20231228,2
144-Blocks-Weekday-51-SDon-0011000,20231228,2
144-Blocks-Weekday-51-SDon-1000000,20231228,2
144-Blocks-Weekday-51-SDon-0101000,20231228,2
144-Blocks-Weekday-51-SDon-1101100,20231229,2
144-Blocks-Weekday-51-SDon-0010000,20231229,2
144-Blocks-Weekday-51-SDon,20231229,2
144-Blocks-Weekday-51-SDon-0001000,20231229,2
144-Blocks-Weekday-51-SDon-0100000,20231229,2
144-Blocks-Weekday-51-SDon-1011100,20231229,2
144-Blocks-Weekday-51-SDon-0010100,20231229,2
144-Blocks-Weekday-51-SDon-1101000,20231229,2
144-Blocks-Weekday-51-SDon-1110100,20231229,2
144-Blocks-Weekday-51-SDon-1100100,20231229,2
144-Blocks-Weekday-51-SDon-0011000,20231229,2
144-Blocks-Weekday-51-SDon-1000000,20231229,2
144-Blocks-Weekday-51-SDon-0101000,20231229,2
144-Blocks-Weekday-51-SDon-1101100,20240115,2
144-Blocks-Weekday-51-SDon-0010000,20240115,2
144-Blocks-Weekday-51-SDon,20240115,2
144-Blocks-Weekday-51-SDon-0001000,20240115,2
144-Blocks-Weekday-51-SDon-0100000,20240115,2
144-Blocks-Weekday-51-SDon-1011100,20240115,2
144-Blocks-Weekday-51-SDon-0010100,20240115,2
144-Blocks-Weekday-51-SDon-1101000,20240115,2
144-Blocks-Weekday-51-SDon-1110100,20240115,2
144-Blocks-Weekday-51-SDon-1100100,20240115,2
144-Blocks-Weekday-51-SDon-0011000,20240115,2
144-Blocks-Weekday-51-SDon-1000000,20240115,2
144-Blocks-Weekday-51-SDon-0101000,20240115,2
144-Blocks-Sunday-51,20231225,1
144-Blocks-Sunday-51,20240101,1
