route_id,direction_id,direction
49-206,0,East
18-206,1,South
15-206,1,South
15-206,0,North
18-206,0,North
19-206,0,North
19-206,1,South
24-206,1,West
24-206,0,East
25-206,1,West
25-206,0,East
28-206,0,North
28-206,1,South
37-206,1,West
37-206,0,East
46-206,1,South
46-206,0,North
57-206,0,East
57-206,1,West
59-206,1,West
62-206,0,North
62-206,1,South
79-206,1,West
79-206,0,East
81-206,0,East
49-206,1,West
53P-206,0,East
53P-206,1,West
68-206,1,West
68-206,0,East
59-206,0,East
82-206,0,East
82-206,1,West
83-206,1,West
83-206,0,East
88-206,0,East
29-206,1,West
29-206,0,East
14-206,0,Clockwise
35-206,0,East
35-206,1,West
54-206,0,East
56-206,0,East
56-206,1,West
58-206,1,West
58-206,0,East
60-206,0,East
60-206,1,West
61-206,0,North
61-206,1,South
67-206,1,West
67-206,0,East
73-206,0,East
73-206,1,West
85-206,1,West
87-206,1,West
54-206,1,West
53-206,1,West
53-206,0,East
72-206,0,East
72-206,1,West
10-206,1,South
10-206,0,North
12-206,1,South
12-206,0,North
30-206,0,North
30-206,1,South
41-206,0,East
41-206,1,West
42-206,0,East
42-206,1,West
50-206,1,West
51-206,1,West
51-206,0,East
78-206,0,East
78-206,1,West
81-206,1,West
86-206,0,East
86-206,1,West
40-206,0,East
40-206,1,West
130-206,0,North
130-206,1,South
250-206,1,West
250-206,0,East
138-206,1,Outbound
138-206,0,Inbound
117-206,0,North
117-206,1,South
ECRO-206,1,South
ECRO-206,0,North
142-206,1,West
142-206,0,East
FCX-206,0,North
FCX-206,1,South
281-206,1,West
281-206,0,East
260-206,0,East
260-206,1,West
294-206,1,West
294-206,0,East
296-206,1,South
296-206,0,North
296O-206,0,North
296O-206,1,South
ECR-206,0,North
ECR-206,1,South
120-206,0,North
120-206,1,South
112-206,0,North
112-206,1,South
713-206,0,North
713-206,1,South
295-206,0,North
295-206,1,South
278-206,1,West
278-206,0,East
270-206,1,Counterclockwise
121-206,0,North
121-206,1,South
397-206,1,South
397-206,0,North
141-206,1,West
141-206,0,East
110-206,0,North
110-206,1,South
292-206,1,South
292-206,0,North
280-206,1,West
280-206,0,East
122-206,0,North
122-206,1,South
398-206,0,North
398-206,1,South
276-206,1,Outbound
276-206,0,Inbound
251-206,0,Inbound
138-206,1,Outbound
138-206,0,Inbound
117-206,0,North
117-206,1,South
141-206,1,West
141-206,0,East
121-206,1,South
121-206,0,North
142-206,0,East
142-206,1,West
ECRO-206,0,North
ECRO-206,1,South
281-206,0,East
281-206,1,West
122-206,0,North
122-206,1,South
ECR-206,0,North
ECR-206,1,South
397-206,1,South
397-206,0,North
294-206,0,East
294-206,1,West
280-206,0,East
280-206,1,West
278-206,1,West
278-206,0,East
270-206,1,Counterclockwise
260-206,0,East
260-206,1,West
251-206,0,Inbound
250-206,0,East
250-206,1,West
292-206,1,South
292-206,0,North
130-206,1,South
130-206,0,North
120-206,0,North
120-206,1,South
296O-206,0,North
296O-206,1,South
296-206,1,South
296-206,0,North
110-206,0,North
110-206,1,South
112-206,0,North
112-206,1,South
138-206,1,Outbound
138-206,0,Inbound
117-206,0,North
117-206,1,South
141-206,1,West
141-206,0,East
121-206,0,North
121-206,1,South
ECRO-206,1,South
ECRO-206,0,North
278-206,1,West
278-206,0,East
142-206,1,West
142-206,0,East
281-206,1,West
281-206,0,East
122-206,0,North
122-206,1,South
112-206,0,North
112-206,1,South
110-206,1,South
110-206,0,North
120-206,1,South
120-206,0,North
130-206,1,South
130-206,0,North
250-206,0,East
250-206,1,West
280-206,1,West
280-206,0,East
294-206,1,West
294-206,0,East
296-206,0,North
296O-206,0,North
296-206,1,South
296O-206,1,South
292-206,0,North
292-206,1,South
ECR-206,1,South
ECR-206,0,North
397-206,0,North
397-206,1,South
