fare_id,route_id,origin_id,destination_id,contains_id
"OW_Adult_20160110",10-206,1,1,
"OW_Adult_20160110",12-206,1,1,
"OW_Adult_20160110",14-206,1,1,
"OW_Adult_20160110",15-206,1,1,
"OW_Adult_20160110",18-206,1,1,
"OW_Adult_20160110",19-206,1,1,
"OW_Adult_20160110",24-206,1,1,
"OW_Adult_20160110",25-206,1,1,
"OW_Adult_20160110",28-206,1,1,
"OW_Adult_20160110",29-206,1,1,
"OW_Adult_20160110",30-206,1,1,
"OW_Adult_20160110",35-206,1,1,
"OW_Adult_20160110",37-206,1,1,
"OW_Adult_20160110",40-206,1,1,
"OW_Adult_20160110",41-206,1,1,
"OW_Adult_20160110",42-206,1,1,
"OW_Adult_20160110",46-206,1,1,
"OW_Adult_20160110",49-206,1,1,
"OW_Adult_20160110",50-206,1,1,
"OW_Adult_20160110",51-206,1,1,
"OW_Adult_20160110",53-206,1,1,
"OW_Adult_20160110",53P-206,1,1,
"OW_Adult_20160110",54-206,1,1,
"OW_Adult_20160110",56-206,1,1,
"OW_Adult_20160110",57-206,1,1,
"OW_Adult_20160110",58-206,1,1,
"OW_Adult_20160110",59-206,1,1,
"OW_Adult_20160110",60-206,1,1,
"OW_Adult_20160110",61-206,1,1,
"OW_Adult_20160110",62-206,1,1,
"OW_Adult_20160110",67-206,1,1,
"OW_Adult_20160110",68-206,1,1,
"OW_Adult_20160110",72-206,1,1,
"OW_Adult_20160110",73-206,1,1,
"OW_Adult_20160110",78-206,1,1,
"OW_Adult_20160110",79-206,1,1,
"OW_Adult_20160110",81-206,1,1,
"OW_Adult_20160110",82-206,1,1,
"OW_Adult_20160110",83-206,1,1,
"OW_Adult_20160110",85-206,1,1,
"OW_Adult_20160110",86-206,1,1,
"OW_Adult_20160110",87-206,1,1,
"OW_Adult_20160110",88-206,1,1,
"OW_Adult_20160110",110-206,1,1,
"OW_Adult_20160110",112-206,1,1,
"OW_Adult_20160110",117-206,1,1,
"OW_Adult_20160110",120-206,1,1,
"OW_Adult_20160110",121-206,1,1,
"OW_Adult_20160110",122-206,1,1,
"OW_Adult_20160110",130-206,1,1,
"OW_Adult_20160110",138-206,1,1,
"OW_Adult_20160110",141-206,1,1,
"OW_Adult_20160110",142-206,1,1,
"OW_Adult_20160110",250-206,1,1,
"OW_Adult_20160110",251-206,1,1,
"OW_Adult_20160110",260-206,1,1,
"OW_Adult_20160110",270-206,1,1,
"OW_Adult_20160110",276-206,1,1,
"OW_Adult_20160110",278-206,1,1,
"OW_Adult_20160110",280-206,1,1,
"OW_Adult_20160110",281-206,1,1,
"OW_Adult_20160110",292-206,1,1,
"OW_Adult_20160110",294-206,1,1,
"OW_Adult_20160110",295-206,1,1,
"OW_Adult_20160110",296-206,1,1,
"OW_Adult_20160110",296O-206,1,1,
"OW_Adult_20160110",397-206,1,1,
"OW_Adult_20160110",398-206,1,1,
"OW_Adult_20160110",713-206,1,1,
"OW_Adult_20160110",ECR-206,1,1,
"OW_Adult_20160110",ECRO-206,1,1,
"OW_Adult_20160110",FCX-206,1,1,
"OW_Adult_20160110",122-206,2,1,
"OW_Adult_20160110",122-206,1,2,
"OW_Adult_20160110",292-206,2,1,
"OW_Adult_20160110",292-206,1,2,
"OW_Adult_20160110",397-206,2,1,
"OW_Adult_20160110",397-206,1,2,
"OW_Adult_20160110",398-206,2,1,
"OW_Adult_20160110",398-206,1,2,
"OW_Adult_20160110",713-206,2,1,
"OW_Adult_20160110",713-206,1,2,
"OW_Exp_20160110",FCX-206,2,1,
"OW_Exp_20160110",FCX-206,1,2,
