route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
49-206,144-Blocks-Weekday-51-SDon-1101100,12314545-144-Blocks-Weekday-51-SDon-1101100,"Brisbane",491004,0,,490070
49-206,144-Blocks-Weekday-51-SDon-0010000,12314546-144-Blocks-Weekday-51-SDon-0010000,"Brisbane",491002,0,,490070
18-206,144-Blocks-Weekday-51-SDon,12314547-144-Blocks-Weekday-51-SDon,"Half Moon Bay HS",181001,1,,180084
15-206,144-Blocks-Weekday-51-SDon-0001000,12314548-144-Blocks-Weekday-51-SDon-0001000,"Moonridge Apts",151001,1,,150009
15-206,144-Blocks-Weekday-51-SDon,12314549-144-Blocks-Weekday-51-SDon,"Half Moon Bay HS",151002,0,,150008
18-206,144-Blocks-Weekday-51-SDon-0001000,12314550-144-Blocks-Weekday-51-SDon-0001000,"Montara",181006,0,,180082
15-206,144-Blocks-Weekday-51-SDon,12314551-144-Blocks-Weekday-51-SDon,"Half Moon Bay HS",151004,0,,150008
19-206,144-Blocks-Weekday-51-SDon,12314552-144-Blocks-Weekday-51-SDon,"Ingrid B Lacy School",191002,0,,190037
19-206,144-Blocks-Weekday-51-SDon-0010000,12314553-144-Blocks-Weekday-51-SDon-0010000,"Pacifica",191001,1,,190051
19-206,144-Blocks-Weekday-51-SDon-1101100,12314554-144-Blocks-Weekday-51-SDon-1101100,"Pacifica",191003,1,,190051
24-206,144-Blocks-Weekday-51-SDon,12314555-144-Blocks-Weekday-51-SDon,"Summit Shasta HS",241001,1,,240051
24-206,144-Blocks-Weekday-51-SDon,12314556-144-Blocks-Weekday-51-SDon,"Brisbane",241004,0,,240066
25-206,144-Blocks-Weekday-51-SDon,12314557-144-Blocks-Weekday-51-SDon,"Ben Franklin School",251001,1,,250042
25-206,144-Blocks-Weekday-51-SDon-1101100,12314558-144-Blocks-Weekday-51-SDon-1101100,"Daly City",251004,0,,250050
25-206,144-Blocks-Weekday-51-SDon-0010000,12314559-144-Blocks-Weekday-51-SDon-0010000,"Daly City",251002,0,,250050
28-206,144-Blocks-Weekday-51-SDon-0010000,12314560-144-Blocks-Weekday-51-SDon-0010000,"Serramonte Center",281002,0,,280062
28-206,144-Blocks-Weekday-51-SDon,12314561-144-Blocks-Weekday-51-SDon,"South City HS",281001,1,,280052
28-206,144-Blocks-Weekday-51-SDon-1101100,12314562-144-Blocks-Weekday-51-SDon-1101100,"Serramonte Center",281004,0,,280062
37-206,144-Blocks-Weekday-51-SDon,12314563-144-Blocks-Weekday-51-SDon,"Alta Loma School",371001,1,,370049
37-206,144-Blocks-Weekday-51-SDon-0010000,12314564-144-Blocks-Weekday-51-SDon-0010000,"South City",371002,0,,370040
37-206,144-Blocks-Weekday-51-SDon-1101100,12314565-144-Blocks-Weekday-51-SDon-1101100,"South City",371004,0,,370040
46-206,144-Blocks-Weekday-51-SDon-0100000,12314566-144-Blocks-Weekday-51-SDon-0100000,"Burlingame",461001,1,,460121
46-206,144-Blocks-Weekday-51-SDon,12314567-144-Blocks-Weekday-51-SDon,"Burlingame Intermediate School",461002,0,,460115
46-206,144-Blocks-Weekday-51-SDon-1011100,12314568-144-Blocks-Weekday-51-SDon-1011100,"Burlingame",461007,1,,460121
57-206,144-Blocks-Weekday-51-SDon-0010100,12314569-144-Blocks-Weekday-51-SDon-0010100,"Foster City",571002,0,,570066
57-206,144-Blocks-Weekday-51-SDon,12314570-144-Blocks-Weekday-51-SDon,"Hillsdale HS",571001,1,,570044
57-206,144-Blocks-Weekday-51-SDon-1101000,12314571-144-Blocks-Weekday-51-SDon-1101000,"Foster City",571004,0,,570066
59-206,144-Blocks-Weekday-51-SDon,12314572-144-Blocks-Weekday-51-SDon,"Aragon HS",591001,1,,590080
62-206,144-Blocks-Weekday-51-SDon,12314573-144-Blocks-Weekday-51-SDon,"Belmont",621002,0,,620091
62-206,144-Blocks-Weekday-51-SDon-0010000,12314574-144-Blocks-Weekday-51-SDon-0010000,"Carlmont HS",621003,1,,620088
62-206,144-Blocks-Weekday-51-SDon-1101100,12314575-144-Blocks-Weekday-51-SDon-1101100,"Carlmont HS",621001,1,,620088
79-206,144-Blocks-Weekday-51-SDon,12314576-144-Blocks-Weekday-51-SDon,"Kennedy School",791001,1,,790115
79-206,144-Blocks-Weekday-51-SDon-0001000,12314577-144-Blocks-Weekday-51-SDon-0001000,"Redwood City",791002,0,,790111
81-206,144-Blocks-Weekday-51-SDon-1110100,12314578-144-Blocks-Weekday-51-SDon-1110100,"East Palo Alto",811012,0,,810070
81-206,144-Blocks-Weekday-51-SDon-1110100,12314579-144-Blocks-Weekday-51-SDon-1110100,"East Palo Alto",811010,0,,810066
49-206,144-Blocks-Weekday-51-SDon,12314580-144-Blocks-Weekday-51-SDon,"Terra Nova HS",491001,1,,490071
53P-206,144-Blocks-Weekday-51-SDon-1101000,12314581-144-Blocks-Weekday-51-SDon-1101000,"Peninsula/Humboldt",5301004,0,,53P0031
53P-206,144-Blocks-Weekday-51-SDon,12314582-144-Blocks-Weekday-51-SDon,"Borel School",5301001,1,,53P0012
68-206,144-Blocks-Weekday-51-SDon,12314583-144-Blocks-Weekday-51-SDon,"Ralston MS",681001,1,,680066
68-206,144-Blocks-Weekday-51-SDon-0010000,12314584-144-Blocks-Weekday-51-SDon-0010000,"Belmont",681002,0,,680129
68-206,144-Blocks-Weekday-51-SDon-1101100,12314585-144-Blocks-Weekday-51-SDon-1101100,"Belmont",681008,0,,680129
15-206,144-Blocks-Weekday-51-SDon-1110100,12314586-144-Blocks-Weekday-51-SDon-1110100,"Moonridge Apts",151003,1,,150009
18-206,144-Blocks-Weekday-51-SDon,12314587-144-Blocks-Weekday-51-SDon,"Half Moon Bay HS",181003,1,,180084
18-206,144-Blocks-Weekday-51-SDon-1110100,12314588-144-Blocks-Weekday-51-SDon-1110100,"Montara",181008,0,,180082
15-206,144-Blocks-Weekday-51-SDon,12314589-144-Blocks-Weekday-51-SDon,"Moonridge Apts",151005,1,,150010
18-206,144-Blocks-Weekday-51-SDon,12314590-144-Blocks-Weekday-51-SDon,"Montara",181010,0,,180081
59-206,144-Blocks-Weekday-51-SDon-0010100,12314591-144-Blocks-Weekday-51-SDon-0010100,"San Mateo",591002,0,,590072
82-206,144-Blocks-Weekday-51-SDon-1100100,12314592-144-Blocks-Weekday-51-SDon-1100100,"Menlo Park",821004,0,,820056
82-206,144-Blocks-Weekday-51-SDon,12314593-144-Blocks-Weekday-51-SDon,"Hillview MS",821001,1,,820053
82-206,144-Blocks-Weekday-51-SDon-0011000,12314594-144-Blocks-Weekday-51-SDon-0011000,"Menlo Park",821002,0,,820056
83-206,144-Blocks-Weekday-51-SDon,12314595-144-Blocks-Weekday-51-SDon,"Hillview MS",831001,1,,830106
83-206,144-Blocks-Weekday-51-SDon-1100100,12314596-144-Blocks-Weekday-51-SDon-1100100,"Menlo Park",831004,0,,830110
88-206,144-Blocks-Weekday-51-SDon-0001000,12314597-144-Blocks-Weekday-51-SDon-0001000,"Menlo Park",881002,0,,880049
88-206,144-Blocks-Weekday-51-SDon-1110100,12314598-144-Blocks-Weekday-51-SDon-1110100,"Menlo Park",881004,0,,880049
