shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1299_shp,38.4056,-122.71274,1,0
1299_shp,38.40561,-122.7135,2,217.823544
1299_shp,38.40677,-122.71349,3,640.290105
1299_shp,38.40753,-122.7135,4,917.087053
1299_shp,38.40753,-122.7135,5,917.087053
1299_shp,38.41015,-122.71353,6,1871.295975
1299_shp,38.41015,-122.71353,7,1871.295975
1299_shp,38.41195,-122.71353,8,2526.832998
1299_shp,38.41195,-122.71353,9,2526.832998
1299_shp,38.41938,-122.71354,10,5232.747813
1299_shp,38.41938,-122.71354,11,5232.747813
1299_shp,38.42141,-122.71355,12,5972.054635
1299_shp,38.42141,-122.71355,13,5972.054635
1299_shp,38.42413,-122.71351,14,6962.71219
1299_shp,38.42413,-122.71351,15,6962.71219
1299_shp,38.42654,-122.71346,16,7840.522458
1299_shp,38.42701,-122.71332,17,8016.327178
1299_shp,38.42755,-122.71298,18,8235.788954
1299_shp,38.42755,-122.71298,19,8235.788954
1299_shp,38.43004,-122.71116,20,9281.82279
1299_shp,38.43051,-122.7111,21,9453.852195
1299_shp,38.43204,-122.71139,22,10017.219568
1299_shp,38.43204,-122.71139,23,10017.219568
1299_shp,38.43411,-122.71183,24,10781.55421
1299_shp,38.43411,-122.71183,25,10781.55421
1299_shp,38.43622,-122.71226,26,11559.801834
1299_shp,38.43826,-122.71251,27,12306.190386
1299_shp,38.43795,-122.71357,28,12630.128704
1299_shp,38.43782,-122.71413,29,12797.377451
1299_shp,38.43816,-122.71447,30,12954.912536
1299_shp,38.43827,-122.71457,31,13004.160389
1299_shp,38.43866,-122.71379,32,13268.908414
1299_shp,38.43869,-122.71372,33,13291.742658
1300_shp,38.47562,-122.67307,1,0
1300_shp,38.47646,-122.67047,2,804.77092
1300_shp,38.47691,-122.66831,3,1444.5034
1300_shp,38.47691,-122.66831,4,1444.5034
1300_shp,38.47821,-122.66448,5,2638.826605
1300_shp,38.47821,-122.66448,6,2638.826605
1300_shp,38.47845,-122.66373,7,2870.647607
1300_shp,38.4786,-122.6628,8,3142.436287
1300_shp,38.47857,-122.6611,9,3629.237388
1300_shp,38.47857,-122.6611,10,3629.237388
1300_shp,38.47867,-122.66022,11,3883.78375
1300_shp,38.47882,-122.65965,12,4055.865219
1300_shp,38.47959,-122.65748,13,4737.452044
1300_shp,38.47992,-122.65689,14,4944.749744
1300_shp,38.4798,-122.6568,15,4995.482175
1300_shp,38.47784,-122.65536,16,5819.786311
1300_shp,38.47784,-122.65536,17,5819.786311
1300_shp,38.47741,-122.65505,18,5999.787873
1300_shp,38.47671,-122.65481,19,6263.818634
1300_shp,38.47356,-122.65442,20,7416.441791
1300_shp,38.47356,-122.65442,21,7416.441791
1300_shp,38.46945,-122.65393,22,8919.826935
1300_shp,38.46945,-122.65393,23,8919.826935
1300_shp,38.46636,-122.65355,24,10050.423948
1300_shp,38.46636,-122.65355,25,10050.423948
1300_shp,38.46497,-122.65336,26,10559.563855
1300_shp,38.46498,-122.65368,27,10651.263492
1300_shp,38.46511,-122.65836,28,11992.147397
1300_shp,38.46511,-122.65836,29,11992.147397
1300_shp,38.46501,-122.66004,30,12474.566747
1300_shp,38.46469,-122.66159,31,12933.433166
1300_shp,38.46469,-122.66159,32,12933.433166
1300_shp,38.46403,-122.66439,33,13770.434771
1300_shp,38.46403,-122.66439,34,13770.434771
1300_shp,38.46335,-122.66714,35,14595.895692
1300_shp,38.46294,-122.6681,36,14908.721128
1300_shp,38.46248,-122.66888,37,15187.916495
1300_shp,38.46248,-122.66888,38,15187.916495
1300_shp,38.46095,-122.67104,39,16020.407683
1300_shp,38.46095,-122.67104,40,16020.407683
1300_shp,38.45911,-122.67366,41,17026.351083
1300_shp,38.45877,-122.67455,42,17309.698894
1300_shp,38.45865,-122.67434,43,17384.037501
1300_shp,38.45839,-122.67374,44,17580.218526
1300_shp,38.45839,-122.67374,45,17580.218526
1300_shp,38.4573,-122.67129,46,18386.327842
1300_shp,38.45699,-122.67151,47,18515.615278
