route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
"1",1,"1","Rancho Vallejo",3,592E91,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=1"
"2",1,"2","Crest",3,B72775,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=2"
"3",1,"3","South Vallejo",3,50A140,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=3"
"4",1,"4","Tuolumne",3,00A6CE,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=4"
"5",1,"5","Six Flags",3,F47B20,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=5"
"6",1,"6","Tennessee",3,666EB3,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=6"
"7A",1,"7A","Clockwise",3,004D91,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=7A"
"7B",1,"7B","Counterclockwise",3,004D91,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=7B"
"8",1,"8","Glen Cove",3,009577,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=8"
"15",1,"15","Rose",3,A0CE60,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=15"
"17",1,"17","Hastings",3,64B0E2,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=17"
"38",1,"38","Jesse Bethel",3,C383B9,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=38"
"82",1,"82","SF Express",3,F47B20,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=82"
"B",1,"B","Blue Line",3,004D91,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=B"
"G",1,"G","Green Line",3,50A140,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=G"
"R",1,"R","Red Line",3,D63029,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=R"
"Y",1,"Y","Yellow Line",3,FDB415,FFFFFF,"http://soltrans.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=Y"
