stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,zone_id,location_type,parent_station
1,"826058","Military E & E 5th St",38.051094,-122.147163,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=1",1,,
2,"824066","Redwood Pkwy & Cabernet Dr",38.131569,-122.199886,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=2",1,,
3,"826059","Military W & W 3rd St",38.055878,-122.160057,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=3",1,,
4,"826060","Columbus Pkwy & Rose Dr",38.081169,-122.191963,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=4",1,,
7,"824063","Columbus Pkwy & Tennessee St",38.108990,-122.203026,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=7",1,,
8,"824064","Redwood Pkwy & Eagle Ridge Dr",38.126226,-122.203649,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=8",1,,
9,"824065","Redwood Pkwy & Penny Ln",38.129231,-122.203139,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=9",1,,
10,"824053","Columbus Pkwy & Tennessee St",38.108444,-122.203331,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=10",1,,
11,"824054","Columbus Pkwy & Springs Rd",38.105453,-122.203629,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=11",1,,
14,"826061","Military W & W 3rd St",38.055450,-122.159348,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=14",1,,
16,"828005","Oakwood Ave & Westwood St",38.104459,-122.217734,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=16",1,,
17,"828006","Tennessee St & Oakwood Ave",38.109714,-122.218229,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=17",1,,
27,"823146","Valle Vista Ave & Couch St (Post Office)",38.119878,-122.251001,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=27",1,,
28,"823145","Valle Vista Ave & Napa St (Post Office)",38.119734,-122.251139,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=28",1,,
33,"824068","Admiral Callaghan Ln & Henry St",38.111706,-122.229058,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=33",1,,
37,"824027","Plaza Dr & Admiral Callaghan Ln",38.133780,-122.217582,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=37",1,,
38,"828004","Rollingwood Dr & Cottonwood Dr",38.102497,-122.209335,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=38",1,,
39,"828007","Georgia St & Delwood St",38.100147,-122.201425,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=39",1,,
40,"821076","Florida St & Napa St",38.105030,-122.251317,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=40",1,,
41,"821127","Sonoma Blvd & Capitol St",38.102829,-122.255031,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=41",1,,
43,"823025","Sacramento St & Valle Vista Ave",38.118080,-122.258369,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=43",1,,
45,"822098","Rolllingwood Rd & Baywood Dr",38.098110,-122.209271,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=45",1,,
46,"823147","Tennessee St & Shasta St",38.109620,-122.234519,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=46",1,,
48,"822006","Georgia St & Hogan Middle School",38.100201,-122.212837,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=48",1,,
54,"823000","Sonoma Blvd & California St",38.120782,-122.254851,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=54",1,,
55,"825044","Jack London Dr & Doreen Ct",38.144711,-122.263324,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=55",1,,
56,"825043","Mini Dr & Sonoma Blvd",38.153770,-122.254157,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=56",1,,
57,"825045","Sonoma Blvd & Hwy 37",38.135985,-122.256314,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=57",1,,
58,"825046","Sonoma Blvd & Yolano Dr",38.131976,-122.256193,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=58",1,,
59,"823017","Valle Vista Ave & Sonoma Blvd",38.119771,-122.253988,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=59",1,,
61,"825047","Mini Dr & Princeton Ave",38.152850,-122.248683,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=61",1,,
63,"822101","Fulton Ave & Magazine St",38.082817,-122.223220,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=63",1,,
64,"821019","Sandy Beach Rd & Sonoma Blvd",38.078093,-122.235482,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=64",1,,
65,"824002","Turner Pkwy & Admiral Callaghan Ln",38.130586,-122.224484,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=65",1,,
66,"824028","Admiral Callaghan Ln & Auto Club Way",38.135381,-122.216216,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=66",1,,
67,"824033","Columbus Pkwy & North Ascot Pkwy",38.136765,-122.206969,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=67",1,,
69,"824060","Redwood Pkwy & Jesse Bethel High School",38.122848,-122.206103,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=69",1,,
71,"824003","Turner Pkwy & Plaza Dr",38.131114,-122.216478,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=71",1,,
72,"824004","Turner Pkwy & Admiral Callaghan Ln",38.130782,-122.221199,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=72",1,,
73,"821082","Maine St & Solano Ave",38.098882,-122.244393,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=73",1,,
74,"829016","Suisun Valley Rd & Kaiser Dr (SCC)",38.229228,-122.128787,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=74",2,,
75,"822015","Glen Cove Pkwy & Robles Way",38.084369,-122.211681,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=75",1,,
76,"823074","Sonoma Blvd & Sereno Dr",38.128207,-122.255460,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=76",1,,
77,"823075","Sonoma Blvd & Sereno Dr (Smart & Final)",38.128110,-122.255877,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=77",1,,
78,"822100","Rollingwood Rd & Benicia Rd",38.089714,-122.208366,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=78",1,,
79,"825032","Janice St & McGrue Ave",38.148566,-122.234200,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=79",1,,
80,"824019","Admiral Callaghan Ln & Tennessee St",38.110245,-122.228349,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=80",1,,
81,"821006","Alameda St & Florida St",38.105287,-122.248082,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=81",1,,
82,"821009","Alameda St & Ohio St",38.106544,-122.248557,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=82",1,,
83,"821005","Alameda St & Virginia St",38.102261,-122.248155,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=83",1,,
84,"821010","Alameda St & Virginia St",38.101734,-122.248374,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=84",1,,
87,"822051","Ascot Pkwy & Georgia St",38.106058,-122.188593,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=87",1,,
88,"822050","Ascot Pkwy & Hawkins St",38.107763,-122.190200,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=88",1,,
89,"822048","Ascot Pkwy & Hilary Way",38.110462,-122.196739,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=89",1,,
90,"824011","Ascot Pkwy & Locust Dr",38.114403,-122.200908,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=90",1,,
92,"824009","Ascot Pkwy & Wardlaw Park East",38.118704,-122.206239,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=92",1,,
93,"822049","Ascot Pkwy & Southport Way",38.108458,-122.194297,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=93",1,,
94,"824022","Ascot Pkwy & Sunrise Way",38.118153,-122.202665,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=94",1,,
95,"824010","Ascot Pkwy & Sunrise Way",38.117487,-122.202430,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=95",1,,
97,"822087","Avian Dr & Tennessee St",38.108730,-122.204554,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=97",1,,
98,"822086","Avian Dr & Tennessee St",38.108766,-122.204344,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=98",1,,
99,"821084","Benicia Rd & Beach St",38.096498,-122.237966,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=99",1,,
100,"821086","Benicia Rd & Carquinez St",38.095378,-122.233226,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=100",1,,
101,"822070","Benicia Rd & Cedar St",38.093673,-122.225462,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=101",1,,
102,"822072","Benicia Rd & Home Acres Ave",38.092203,-122.219101,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=102",1,,
103,"822071","Benicia Rd & Maple Ave",38.093025,-122.222624,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=103",1,,
104,"821083","Benicia Rd & Solano Ave",38.097902,-122.242542,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=104",1,,
105,"822074","Benicia Rd & Rollingwood Dr",38.089641,-122.209777,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=105",1,,
106,"821085","Benicia Rd & Starr Ave",38.095846,-122.235263,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=106",1,,
107,"822073","Benicia Rd & Taylor Ave",38.091518,-122.216093,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=107",1,,
108,"823028","Broadway St & 1850 Garage",38.134053,-122.252215,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=108",1,,
109,"823012","Broadway St & Ash St",38.134317,-122.252452,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=109",1,,
111,"823013","Broadway St & Garibaldi Dr (Park Place)",38.132436,-122.252466,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=111",1,,
112,"823027","Broadway St & Garibaldi Dr (Park Place)",38.131965,-122.252260,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=112",1,,
115,"821007","Broadway St & Louisiana St",38.107785,-122.248568,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=115",1,,
119,"823003","Broadway St & Vallejo High School",38.114872,-122.248415,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=119",1,,
120,"823020","Broadway St & Nebraska St",38.114195,-122.248628,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=120",1,,
121,"823004","Broadway St & Oregon St",38.118531,-122.248439,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=121",1,,
122,"823019","Broadway St & Oregon St",38.117979,-122.248596,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=122",1,,
124,"823022","Broadway St & Tennessee St",38.110055,-122.248705,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=124",1,,
125,"823001","Broadway St & Tennessee St",38.110357,-122.248508,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=125",1,,
126,"821063","Butte St & Florida St",38.104548,-122.263328,"http://soltrans.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=126",1,,
