route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"391",1,1,"Westbound Pittsburg Center BART",1,101,47
"380",1,2,"Eastbound Antioch BART",0,101,32
"300",1,3,"Westbound Antioch BART",1,102,26
"387",1,4,"Westbound Pittsburg-Bay Point BART",1,102,55
"391",1,5,"Eastbound Brentwood Park & Ride",0,102,48
"300",1,6,"Westbound Antioch BART",1,102,26
"380",1,7,"Eastbound Antioch BART",0,103,88
"380",1,8,"Westbound Pittsburg-Bay Point BART",1,103,49
"201",1,9,"Westbound Concord BART",1,103,8
"201",1,10,"Eastbound Pittsburg-Bay Point BART",0,103,9
"201",1,11,"Westbound Concord BART",1,104,8
"201",1,12,"Eastbound Pittsburg-Bay Point BART",0,104,9
"391",1,13,"Eastbound Brentwood Park & Ride",0,104,48
"709",1,14,"Westbound Pittsburg-Bay Point BART Express",1,105,21
"300",1,15,"Westbound Antioch BART",1,105,26
"387",1,16,"Westbound Pittsburg-Bay Point BART",1,105,55
"380",1,17,"Eastbound Antioch BART",0,105,32
"384",1,18,"Eastbound Brentwood Park & Ride",0,105,46
"383",1,19,"Westbound Tri Delta Transit",1,105,85
"383",1,20,"Eastbound Blue Goose Park",0,105,84
"384",1,21,"Westbound Antioch BART",1,105,45
"380",1,22,"Westbound Pittsburg-Bay Point BART",1,105,49
"388",1,23,"Eastbound Kaiser",0,105,54
"388",1,24,"Westbound Pittsburg-Bay Point BART",1,105,60
"391",1,25,"Eastbound Brentwood Park & Ride",0,105,48
"390",1,26,"Westbound Pittsburg-Bay Point BART",1,106,16
"389",1,27,"Loop Pittsburg-Bay Point BART",0,106,63
"388",1,28,"Eastbound Kaiser",0,106,54
"388",1,29,"Westbound Pittsburg-Bay Point BART",1,106,60
"201",1,30,"Westbound Concord BART",1,106,8
"201",1,31,"Eastbound Pittsburg-Bay Point BART",0,106,9
"387",1,32,"Eastbound Antioch BART",0,106,52
"385",1,33,"Eastbound Brentwood Park & Ride",0,106,43
"300",1,34,"Westbound Antioch BART",1,106,26
"391",1,35,"Eastbound Brentwood Park & Ride",0,106,48
"391",1,36,"Westbound Pittsburg Center BART",1,106,47
"391",1,37,"Eastbound Brentwood Park & Ride",0,106,48
"300",1,38,"Eastbound Brentwood Park & Ride",0,106,27
"391",1,39,"Westbound Pittsburg Center BART",1,106,47
"391",1,40,"Westbound Pittsburg Center BART",1,107,47
"200",1,41,"Westbound Amtrak",1,107,10
"200",1,42,"Eastbound Pittsburg-Bay Point BART",0,107,11
"380",1,43,"Eastbound Antioch BART",0,107,32
"709",1,44,"Westbound Pittsburg-Bay Point BART Express",1,108,21
"300",1,45,"Westbound Antioch BART",1,108,26
"391",1,46,"Eastbound Brentwood Park & Ride",0,108,48
"300",1,47,"Westbound Antioch BART",1,108,26
"380",1,48,"Eastbound Antioch BART",0,109,32
"387",1,49,"Westbound Pittsburg-Bay Point BART",1,109,55
"709",1,50,"Westbound Pittsburg-Bay Point BART Express",1,110,21
"390",1,51,"Westbound Pittsburg-Bay Point BART",1,110,16
"388",1,52,"Eastbound Kaiser",0,110,54
"388",1,53,"Westbound Pittsburg-Bay Point BART",1,110,60
"200",1,54,"Westbound Amtrak",1,110,10
"200",1,55,"Eastbound Pittsburg-Bay Point BART",0,110,11
"389",1,56,"Loop Pittsburg-Bay Point BART",0,110,63
"384",1,57,"Eastbound Brentwood Park & Ride",0,110,46
"383",1,58,"Westbound Tri Delta Transit",1,110,85
"388",1,59,"Westbound Pittsburg-Bay Point BART",1,110,60
"391",1,60,"Eastbound Brentwood Park & Ride",0,110,48
"300",1,61,"Eastbound Brentwood Park & Ride",0,110,27
"391",1,62,"Westbound Pittsburg Center BART",1,111,47
"384",1,63,"Westbound Antioch BART",1,111,45
"385",1,64,"Westbound Antioch BART",1,111,42
"380",1,65,"Eastbound Antioch BART",0,112,88
"201",1,66,"Eastbound Pittsburg-Bay Point BART",0,122,9
"201",1,67,"Eastbound Pittsburg-Bay Point BART",0,129,9
"300",1,68,"Westbound Antioch BART",1,137,26
"391",1,69,"Eastbound Brentwood Park & Ride",0,148,48
"387",1,70,"Eastbound Century Plaza",0,159,31
"380",1,71,"Westbound Pittsburg-Bay Point BART",1,175,49
"392",2,72,"Westbound Pittsburg-Bay Point BART",1,207,71
"392",2,73,"Eastbound Antioch BART",0,214,62
"392",3,74,"Westbound Pittsburg-Bay Point BART",1,307,71
"391",1,75,"Westbound Pittsburg Center BART",1,148,47
"389",1,76,"Loop Pittsburg-Bay Point BART",0,148,63
"380",1,77,"Eastbound Antioch BART",0,148,32
"387",1,78,"Westbound Pittsburg-Bay Point BART",1,148,55
"391",1,79,"Eastbound Brentwood Park & Ride",0,148,48
"388",1,80,"Westbound Pittsburg-Bay Point BART",1,149,60
"389",1,81,"Loop Pittsburg-Bay Point BART",0,149,63
"380",1,82,"Eastbound Antioch BART",0,149,32
"388",1,83,"Westbound Pittsburg-Bay Point BART",1,149,60
"387",1,84,"Eastbound Antioch BART",0,149,52
"300",1,85,"Eastbound Brentwood Park & Ride",0,149,27
"391",1,86,"Westbound Pittsburg Center BART",1,149,47
"300",1,87,"Westbound Antioch BART",1,150,26
"300",1,88,"Eastbound Brentwood Park & Ride",0,150,27
"391",1,89,"Westbound Pittsburg Center BART",1,150,47
"391",1,90,"Eastbound Brentwood Park & Ride",0,150,48
"385",1,91,"Westbound Antioch BART",1,150,42
"388",1,92,"Westbound Pittsburg-Bay Point BART",1,151,60
"380",1,93,"Eastbound Antioch BART",0,151,32
"385",1,94,"Eastbound Brentwood Park & Ride",0,151,43
"300",1,95,"Westbound Antioch BART",1,151,26
"385",1,96,"Eastbound Brentwood Park & Ride",0,151,44
