runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
1P,c_21878_b_30848_d_27,1P,1,1,10404,4270078,10411,5895853
W14,c_21878_b_30848_d_31,W14,10,1,30093,4270077,20172,4269817
W15,c_21878_b_30848_d_31,W15,11,1,50147,4270078,30106,4270077
W16,c_21878_b_30848_d_31,W16,12,1,20145,4269817,30108,4270077
W17,c_21878_b_30848_d_31,W17,13,1,20153,4269817,10204,4270078
W18,c_21878_b_30848_d_31,W18,14,1,20155,4269817,50301,4270078
W2,c_21878_b_30848_d_31,W2,15,1,10137,4270078,20136,4269817
W3,c_21878_b_30848_d_31,W3,16,1,50109,4270078,20142,4269817
W4,c_21878_b_30848_d_31,W4,17,1,20107,4269817,10170,4270078
W5,c_21878_b_30848_d_31,W5,18,1,10139,4270078,50142,4270078
W6,c_21878_b_30848_d_31,W6,19,1,50111,4270078,40096,4270078
5P,c_21878_b_30848_d_27,5P,2,1,50504,4270078,50511,5895853
W7,c_21878_b_30848_d_31,W7,20,1,40077,4270078,10176,4270078
W8,c_21878_b_30848_d_31,W8,21,1,30077,4270077,50144,4270078
W9,c_21878_b_30848_d_31,W9,22,1,20121,4269817,40102,4270078
SA1,c_21878_b_30848_d_32,SA1,23,1,50173,4270078,30128,4270077
SA2,c_21878_b_30848_d_32,SA2,24,1,20173,4269817,50194,4270078
SA3,c_21878_b_30848_d_32,SA3,25,1,10205,4270078,10507,4270078
SA4,c_21878_b_30848_d_32,SA4,26,1,40109,4270078,20190,4269817
SA5,c_21878_b_30848_d_32,SA5,27,1,30109,4270077,40130,4270078
SA6,c_21878_b_30848_d_32,SA6,28,1,30117,4270077,30130,4270077
SA7,c_21878_b_30848_d_32,SA7,29,1,50183,4270078,20196,4269817
1A,c_21878_b_30848_d_31,1A,3,1,10400,5895853,10407,4270078
SA8,c_21878_b_30848_d_32,SA8,30,1,40119,4270078,10511,4270078
1W,c_21878_b_30848_d_4,1W,31,1,10402,4270078,10409,5895853
5W,c_21878_b_30848_d_4,5W,32,1,50502,4270078,50509,5895853
SU1,c_21878_b_30848_d_64,SU1,33,1,20200,4269817,10606,4270078
SU2,c_21878_b_30848_d_64,SU2,34,1,10300,4270078,30215,4270077
SU3,c_21878_b_30848_d_64,SU3,35,1,40200,4270078,10609,4270078
SU4,c_21878_b_30848_d_64,SU4,36,1,30200,4270077,20223,4269817
SU5,c_21878_b_30848_d_64,SU5,37,1,50303,4270078,30221,4270077
SU6,c_21878_b_30848_d_64,SU6,38,1,30206,4270077,50212,4270078
SU7,c_21878_b_30848_d_64,SU7,39,1,40206,4270078,40221,4270078
5A,c_21878_b_30848_d_31,5A,4,1,50500,5895853,50507,4270078
su8,c_21878_b_30848_d_64,su8,40,1,30210,4270077,10611,4270078
W1,c_21878_b_30848_d_31,W1,5,1,20105,4269817,10168,4270078
W10,c_21878_b_30848_d_31,W10,6,1,50133,4270078,20169,4269817
W11,c_21878_b_30848_d_31,W11,7,1,30089,4270077,20166,4269817
W12,c_21878_b_30848_d_31,W12,8,1,20139,4269817,40108,4270078
W13,c_21878_b_30848_d_31,W13,9,1,10173,4270078,50302,4270078
