shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1252149,37.57797,-122.080062,1,0
p_1252149,37.57799,-122.08009,2,3.32336685
p_1252149,37.57812,-122.07987,3,27.52741802
p_1252149,37.57823,-122.07974,4,44.28807762
p_1252149,37.57852,-122.07947,5,84.34802124
p_1252149,37.57988,-122.07829,6,267.78319476
p_1252149,37.580267,-122.077817,7,327.70427463
p_1252149,37.5802670056264,-122.077817013057,8,327.7055862
p_1252149,37.58032,-122.07794,9,340.05917905
p_1252149,37.582395,-122.07596,10,629.24074387
p_1252149,37.5823950129665,-122.075960025933,11,629.24344905
p_1252149,37.58245,-122.07607,12,640.71532057
p_1252149,37.5838809964415,-122.074712003377,13,839.74475435
p_1252149,37.583881026159,-122.074711977429,14,839.74877075
p_1252149,37.586921,-122.072089,15,1249.03244664
p_1252149,37.5869210208361,-122.072089044962,16,1249.03704209
p_1252149,37.5869210050777,-122.072089010957,17,1249.04051763
p_1252149,37.58694,-122.07213,18,1253.22990177
p_1252149,37.58826,-122.07101,19,1430.00387252
p_1252149,37.58864,-122.07066,20,1482.29502329
p_1252149,37.588664997055,-122.070516016963,21,1495.31084499
p_1252149,37.588665,-122.070516,22,1495.31237845
p_1252149,37.59035,-122.069053,23,1722.62424657
p_1252149,37.5903500108278,-122.069053040063,24,1722.62798339
p_1252149,37.5903499964841,-122.069053003195,25,1722.63160787
p_1252149,37.59035,-122.069053,26,1722.63208942
p_1252149,37.59036,-122.06909,27,1726.08322466
p_1252149,37.59074,-122.06888,28,1772.1568497
p_1252149,37.59103,-122.06876,29,1806.04353525
p_1252149,37.59116,-122.06881,30,1821.13269825
p_1252149,37.59153,-122.06872,31,1862.96071831
p_1252149,37.59185,-122.0687,32,1898.5210188
p_1252149,37.59217,-122.06871,33,1934.04840433
p_1252149,37.59263,-122.06877,34,1985.37749626
p_1252149,37.5927799703711,-122.068765000988,35,2002.02837938
p_1252149,37.59278,-122.068765,36,2002.03166901
p_1252149,37.59276,-122.06882,37,2007.37222215
p_1252149,37.593,-122.06893,38,2035.72574681
p_1252149,37.59363,-122.06928,39,2112.17617152
p_1252149,37.5942,-122.0697,40,2185.51177781
p_1252149,37.59573,-122.07062,41,2373.7608252
p_1252149,37.5959,-122.07066,42,2392.95675776
p_1252149,37.5963,-122.07084,43,2440.11237002
p_1252149,37.59647,-122.07095,44,2461.33435559
p_1252149,37.596573756838,-122.070969873704,45,2472.98318203
p_1252149,37.596573,-122.070969,46,2473.09724109
p_1252149,37.596645,-122.070992,47,2481.34253432
p_1252149,37.596832,-122.071022,48,2502.26586
p_1252149,37.596851,-122.07103,49,2504.4898463
p_1252149,37.596928,-122.071045,50,2513.13804207
p_1252149,37.596989,-122.070885,51,2528.80607562
p_1252149,37.597343,-122.069923,52,2622.40654866
p_1252149,37.597523,-122.069122,53,2695.91024632
p_1252149,37.597706,-122.068291,54,2772.05489912
p_1252149,37.597874,-122.067619,55,2834.25961302
p_1252149,37.59795,-122.067299,56,2863.75082512
p_1252149,37.598011,-122.067024,57,2888.9620845
p_1252149,37.598049,-122.066765,58,2912.2199054
p_1252149,37.598057,-122.066658,59,2921.71066766
p_1252149,37.598061,-122.066544,60,2931.78775544
p_1252149,37.598186,-122.066551,61,2945.67513119
p_1252149,37.598274,-122.066559,62,2955.46767066
p_1252149,37.598469,-122.066589,63,2977.27204933
p_1252149,37.598537,-122.066566,64,2985.08782268
p_1252149,37.59866,-122.066528,65,2999.14584984
p_1252149,37.5987259480835,-122.066141209508,66,3034.07834992
p_1252149,37.5988012923224,-122.065968309042,67,3051.48698844
p_1252149,37.5988389644129,-122.065644120669,68,3080.41938587
p_1252149,37.5988389644115,-122.065665733227,69,3082.32796407
p_1252149,37.5988629375505,-122.065475542715,70,3099.33290254
p_1252149,37.5989965020391,-122.065341544854,71,3118.300773
p_1252149,37.599709,-122.065414,72,3197.63857129
p_1252149,37.599812,-122.06546,73,3209.77069692
p_1252149,37.5998,-122.065605,74,3222.64438175
p_1252149,37.599785,-122.065742,75,3234.85653952
p_1252149,37.599751,-122.065865,76,3246.35522855
