runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_67242_b_77396_d_15,1360620,1,1,t_5674196_b_77396_tn_0,2455116,t_5674197_b_77396_tn_0,2455128
1000000,c_67242_b_77396_d_31,19686,10,1,t_5283689_b_77396_tn_0,2455129,t_5283700_b_77396_tn_0,2455129
1100000,c_67242_b_77396_d_31,19688,11,1,t_5283609_b_77396_tn_0,2455129,t_5283823_b_77396_tn_0,2455129
1200000,c_67242_b_77396_d_31,19689,12,1,t_5283666_b_77396_tn_0,2455128,t_5283677_b_77396_tn_0,2455129
1300000,c_67242_b_77396_d_31,19690,13,1,t_5283723_b_77396_tn_0,2455129,t_5283722_b_77396_tn_0,2455129
1400000,c_67242_b_77396_d_31,19691,14,1,t_5283735_b_77396_tn_0,2455129,t_5283825_b_77396_tn_0,2455129
1500000,c_67242_b_77396_d_32,164212,15,1,t_5283645_b_77396_tn_0,2455129,t_5283656_b_77396_tn_0,2455129
1600000,c_67242_b_77396_d_32,164213,16,1,t_5283600_b_77396_tn_0,2455128,t_5283644_b_77396_tn_0,2455128
1700000,c_67242_b_77396_d_32,164214,17,1,t_5283701_b_77396_tn_0,2455129,t_5283710_b_77396_tn_0,2455129
1800000,c_67242_b_77396_d_32,164215,18,1,t_5283769_b_77396_tn_0,2455128,t_5283779_b_77396_tn_0,2455129
1900000,c_67242_b_77396_d_32,164216,19,1,t_5283759_b_77396_tn_0,2455129,t_5283789_b_77396_tn_0,2455129
200000,c_67242_b_77396_d_16,1360619,2,1,t_5674194_b_77396_tn_0,2455116,t_5674195_b_77396_tn_0,2455128
300000,c_67242_b_77396_d_31,1295550,3,1,t_5283801_b_77396_tn_0,2455129,t_5283801_b_77396_tn_0,2455129
400000,c_67242_b_77396_d_31,1295551,4,1,t_5283802_b_77396_tn_0,2455129,t_5283802_b_77396_tn_0,2455129
500000,c_67242_b_77396_d_31,1295552,5,1,t_5283807_b_77396_tn_0,2455129,t_5283807_b_77396_tn_0,2455129
600000,c_67242_b_77396_d_31,1295553,6,1,t_5283841_b_77396_tn_0,2455129,t_5283844_b_77396_tn_0,2455129
700000,c_67242_b_77396_d_31,19683,7,1,t_5283806_b_77396_tn_0,2455128,t_5283800_b_77396_tn_0,2455128
800000,c_67242_b_77396_d_31,19684,8,1,t_5283813_b_77396_tn_0,2455128,t_5283812_b_77396_tn_0,2455128
900000,c_67242_b_77396_d_31,19685,9,1,t_5283836_b_77396_tn_0,2455128,t_5283805_b_77396_tn_0,2455128
