trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,min_arrival_time,max_departure_time,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
1013552255340,07:00:00,07:00:00,791465,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013552255340,07:05:00,07:05:00,791466,2,,0,0,1277.64647773737,1,,,,,1,1,,,,,,,,
1013552255340,07:12:00,07:12:00,791638,3,,0,0,3999.57195529466,1,,,,,1,1,,,,,,,,
1013552255340,07:55:00,07:55:00,791467,4,,0,0,40794.68903685,1,,,,,1,1,,,,,,,,
1013553255340,08:50:00,08:50:00,791465,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013553255340,08:55:00,08:55:00,791466,2,,0,0,1277.64647773737,1,,,,,1,1,,,,,,,,
1013553255340,09:02:00,09:02:00,791638,3,,0,0,3999.57195529466,1,,,,,1,1,,,,,,,,
1013553255340,09:45:00,09:45:00,791467,4,,0,0,40794.68903685,1,,,,,1,1,,,,,,,,
1013554255340,06:00:00,06:00:00,791465,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013554255340,06:03:00,06:03:00,791466,2,,0,0,1277.64647773737,1,,,,,1,1,,,,,,,,
1013554255340,06:11:00,06:11:00,791638,3,,0,0,3999.57195529466,1,,,,,1,1,,,,,,,,
1013554255340,06:45:00,06:45:00,791467,4,,0,0,40794.68903685,1,,,,,1,1,,,,,,,,
1013555255340,08:00:00,08:00:00,791465,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013555255340,08:05:00,08:05:00,791466,2,,0,0,1277.64647773737,1,,,,,1,1,,,,,,,,
1013555255340,08:12:00,08:12:00,791638,3,,0,0,3999.57195529466,1,,,,,1,1,,,,,,,,
1013555255340,08:55:00,08:55:00,791467,4,,0,0,40794.68903685,1,,,,,1,1,,,,,,,,
1013556255340,15:10:00,15:10:00,2554968,1,,1,1,0,0,,,,,1,1,,,,,,,,
1013556255340,15:20:00,15:20:00,791638,2,,1,1,4829.84967332,0,,,,,1,1,,,,,,,,
1013557255340,16:58:00,16:58:00,2554968,1,,1,1,0,0,,,,,1,1,,,,,,,,
1013557255340,17:08:00,17:08:00,791638,2,,1,1,4829.84967332,0,,,,,1,1,,,,,,,,
1013558255340,18:55:00,18:55:00,791638,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013558255340,19:00:00,19:00:00,791465,2,,0,0,2531.84387103714,1,,,,,1,1,,,,,,,,
1013558255340,19:05:00,19:05:00,791466,3,,0,0,3809.49034877451,1,,,,,1,1,,,,,,,,
1013558255340,19:50:00,19:50:00,791467,4,,0,0,41918.5768966,1,,,,,1,1,,,,,,,,
1013559255340,19:23:00,19:23:00,791638,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013559255340,19:28:00,19:28:00,791465,2,,0,0,2531.84387103714,1,,,,,1,1,,,,,,,,
1013559255340,19:33:00,19:33:00,791466,3,,0,0,3809.49034877451,1,,,,,1,1,,,,,,,,
1013559255340,19:35:00,19:35:00,791468,4,,0,0,5389.1775921709,1,,,,,1,1,,,,,,,,
1013559255340,20:20:00,20:20:00,791467,5,,0,0,41899.53282367,1,,,,,1,1,,,,,,,,
1013560255340,15:35:00,15:35:00,2554968,1,,1,1,0,0,,,,,1,1,,,,,,,,
1013560255340,15:45:00,15:45:00,791638,2,,1,1,4829.84967332,0,,,,,1,1,,,,,,,,
1013561255340,08:30:00,08:30:00,791467,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013561255340,09:10:00,09:10:00,791468,2,,0,0,37722.7832377326,1,,,,,1,1,,,,,,,,
1013561255340,09:15:00,09:15:00,791465,3,,0,0,40686.98888543,1,,,,,1,1,,,,,,,,
1013562255340,09:00:00,09:00:00,791467,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013562255340,09:40:00,09:40:00,791468,2,,0,0,37722.7832377326,1,,,,,1,1,,,,,,,,
1013562255340,09:45:00,09:45:00,791465,3,,0,0,40686.98888543,1,,,,,1,1,,,,,,,,
1013563255340,18:30:00,18:30:00,791467,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013563255340,19:20:00,19:20:00,791638,2,,0,0,36030.02338288,1,,,,,1,1,,,,,,,,
1013564255340,06:50:00,06:50:00,791467,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013564255340,07:20:00,07:20:00,791468,2,,0,0,37722.7832377326,1,,,,,1,1,,,,,,,,
1013564255340,07:30:00,07:30:00,791465,3,,0,0,40686.98888543,1,,,,,1,1,,,,,,,,
1013565255340,14:30:00,14:30:00,791467,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013565255340,15:05:00,15:05:00,791638,2,,0,0,36030.02338288,1,,,,,1,1,,,,,,,,
1013566255340,11:00:00,11:00:00,791467,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013566255340,11:40:00,11:40:00,791638,2,,0,0,36030.02338288,1,,,,,1,1,,,,,,,,
1013567255340,12:50:00,12:50:00,791467,1,,0,0,0,1,,,,,1,1,,,,,,,,
1013567255340,13:30:00,13:30:00,791638,2,,0,0,36030.02338288,1,,,,,1,1,,,,,,,,
1013568255340,20:25:00,20:25:00,791467,1,,0,0,0,1,,,,,1,1,,,,,,,,
