shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
Blue0001,10001,47.676478,-122.256801
Blue0001,10002,47.676478,-122.257420
Blue0001,10003,47.676032,-122.257420
Blue0001,10004,47.675804,-122.257420
Blue0001,10005,47.675797,-122.257931
Blue0001,10006,47.675801,-122.258290
Blue0001,10007,47.675798,-122.259483
Blue0001,10008,47.675797,-122.261418
Blue0001,10009,47.675796,-122.261932
Blue0001,10010,47.675796,-122.262615
Blue0001,10011,47.675794,-122.262795
Blue0001,10012,47.675785,-122.262930
Blue0001,10013,47.675770,-122.263067
Blue0001,10014,47.675756,-122.263248
Blue0001,10015,47.675743,-122.263535
Blue0001,10016,47.675577,-122.263578
Blue0001,10017,47.675489,-122.263609
Blue0001,10018,47.675375,-122.263673
Blue0001,10019,47.675258,-122.263774
Blue0001,10020,47.675179,-122.263861
Blue0001,10021,47.675062,-122.264114
Blue0001,10022,47.673639,-122.266111
Blue0001,10023,47.672320,-122.267951
Blue0001,10024,47.672178,-122.268147
Blue0001,10025,47.671796,-122.268681
Blue0001,10026,47.671359,-122.269291
Blue0001,10027,47.670820,-122.270042
Blue0001,10028,47.670811,-122.270056
Blue0001,20001,47.670811,-122.270056
Blue0001,20002,47.670015,-122.271171
Blue0001,20003,47.668902,-122.272739
Blue0001,20004,47.668766,-122.272977
Blue0001,20005,47.668635,-122.273243
Blue0001,20006,47.668478,-122.273651
Blue0001,20007,47.668412,-122.273921
Blue0001,20008,47.668363,-122.274149
Blue0001,20009,47.668331,-122.274432
Blue0001,20010,47.668304,-122.274784
Blue0001,20011,47.668304,-122.275123
Blue0001,20012,47.668359,-122.275768
Blue0001,20013,47.668436,-122.276779
Blue0001,20014,47.668449,-122.277100
Blue0001,20015,47.668447,-122.277372
Blue0001,20016,47.668440,-122.277697
Blue0001,20017,47.668401,-122.278134
Blue0001,20018,47.668339,-122.278536
Blue0001,20019,47.668254,-122.278887
Blue0001,20020,47.668161,-122.279158
Blue0001,20021,47.668023,-122.279485
Blue0001,20022,47.667876,-122.279741
Blue0001,20023,47.667704,-122.279996
Blue0001,20024,47.667480,-122.280241
Blue0001,20025,47.667155,-122.280575
Blue0001,20026,47.666841,-122.280909
Blue0001,20027,47.666266,-122.281496
Blue0001,20028,47.665799,-122.281983
Blue0001,20029,47.665347,-122.282459
Blue0001,20030,47.664888,-122.282921
Blue0001,20031,47.664659,-122.283170
Blue0001,20032,47.664496,-122.283345
Blue0001,20033,47.664443,-122.283217
Blue0001,20034,47.664392,-122.283080
Blue0001,20035,47.664348,-122.282969
Blue0001,20036,47.664295,-122.282888
Blue0001,20037,47.664213,-122.282803
Blue0001,20038,47.664175,-122.282852
Blue0001,20039,47.664079,-122.282952
Blue0001,20040,47.663936,-122.283004
Blue0001,20041,47.663813,-122.282984
Blue0001,20042,47.663667,-122.282970
Blue0001,20043,47.663560,-122.282973
Blue0001,20044,47.663542,-122.282965
Blue0002,10001,47.663542,-122.282965
Blue0002,10002,47.663493,-122.282945
Blue0002,10003,47.663430,-122.282971
Blue0002,10004,47.663365,-122.282929
Blue0002,10005,47.663355,-122.282858
Blue0002,10006,47.663369,-122.282756
Blue0002,10007,47.663428,-122.282714
Blue0002,10008,47.663490,-122.282754
Blue0002,10009,47.663517,-122.282846
Blue0002,10010,47.663510,-122.282924
Blue0002,10011,47.663493,-122.282945
