route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id,drt_advance_book_min,peak_offpeak
Purp-48,799999-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Hospital,0,7,Purp0002,0.0,0
Purp-48,800000-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Roosevelt,1,7,Purp0002,0.0,0
Purp-48,800001-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Hospital,0,7,Purp0001,0.0,0
Purp-48,800002-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Roosevelt,1,7,Purp0002,0.0,0
Purp-48,800003-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Hospital,0,7,Purp0001,0.0,0
Purp-48,800004-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Roosevelt,1,5,Purp0002,0.0,0
Purp-48,800005-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Hospital,0,5,Purp0001,0.0,0
Purp-48,800006-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Roosevelt,1,7,Purp0002,0.0,0
Purp-48,800007-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Hospital,0,7,Purp0001,0.0,0
Purp-48,800008-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Roosevelt,1,7,Purp0002,0.0,0
Purp-48,800009-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Hospital,0,7,Purp0001,0.0,0
Purp-48,800010-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Roosevelt,1,7,Purp0002,0.0,0
Purp-48,800011-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Hospital,0,7,Purp0001,0.0,0
Purp-48,800012-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Roosevelt,1,7,Purp0002,0.0,0
Purp-48,800013-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Hospital,0,7,Purp0001,0.0,0
Purp-48,800014-SCH-1909-Blocking-Weekday-30,SCH-1909-Blocking-Weekday-30,Roosevelt,1,7,Purp0002,0.0,0
