id,name,from_node_id,to_node_id,length,lanes,dir_flag,free_speed,capacity,link_type,link_type_name,geometry,allowed_uses,from_biway,is_link
POINT (-122.0541352 37.9256927)_POINT (-122.056015 37.928463),,POINT (-122.0541352 37.9256927),POINT (-122.056015 37.928463),349.78386614520764,1,1,-1,-1,-1,,"LINESTRING (-122.0541352 37.9256927, -122.056015 37.928463)",auto,1,True
POINT (-121.9388552 37.4990214)_POINT (-121.939358 37.502307),,POINT (-121.9388552 37.4990214),POINT (-121.939358 37.502307),368.436985342453,1,1,-1,-1,-1,,"LINESTRING (-121.9388552 37.4990214, -121.939358 37.502307)",auto,1,True
POINT (-122.0108429 37.5937696)_POINT (-122.01723 37.590765),,POINT (-122.0108429 37.5937696),POINT (-122.01723 37.590765),655.1880566943728,1,1,-1,-1,-1,,"LINESTRING (-122.0108429 37.5937696, -122.01723 37.590765)",auto,1,True
POINT (-122.0142011 37.5882461)_POINT (-122.01723 37.590765),,POINT (-122.0142011 37.5882461),POINT (-122.01723 37.590765),387.3111912620373,1,1,-1,-1,-1,,"LINESTRING (-122.0142011 37.5882461, -122.01723 37.590765)",auto,1,True
POINT (-122.1508066 37.7247163)_POINT (-122.160713 37.721806),,POINT (-122.1508066 37.7247163),POINT (-122.160713 37.721806),930.4891353316137,1,1,-1,-1,-1,,"LINESTRING (-122.1508066 37.7247163, -122.160713 37.721806)",auto,1,True
POINT (-121.9723074 37.5543457)_POINT (-121.976605 37.557513),,POINT (-121.9723074 37.5543457),POINT (-121.976605 37.557513),517.8350775144338,1,1,-1,-1,-1,,"LINESTRING (-121.9723074 37.5543457, -121.976605 37.557513)",auto,1,True
POINT (-122.0945904 37.6678078)_POINT (-122.086941 37.669731),,POINT (-122.0945904 37.6678078),POINT (-122.086941 37.669731),707.2155074537948,1,1,-1,-1,-1,,"LINESTRING (-122.0945904 37.6678078, -122.086941 37.669731)",auto,1,True
POINT (-122.1226567 37.7049461)_POINT (-122.126431 37.696938),,POINT (-122.1226567 37.7049461),POINT (-122.126431 37.696938),951.4236313486042,1,1,-1,-1,-1,,"LINESTRING (-122.1226567 37.7049461, -122.126431 37.696938)",auto,1,True
POINT (-122.123894 37.6948314)_POINT (-122.126431 37.696938),,POINT (-122.123894 37.6948314),POINT (-122.126431 37.696938),323.9301840139538,1,1,-1,-1,-1,,"LINESTRING (-122.123894 37.6948314, -122.126431 37.696938)",auto,1,True
POINT (-122.087795 37.6641766)_POINT (-122.086941 37.669731),,POINT (-122.087795 37.6641766),POINT (-122.086941 37.669731),622.8755067102026,1,1,-1,-1,-1,,"LINESTRING (-122.087795 37.6641766, -122.086941 37.669731)",auto,1,True
POINT (-122.2651075 37.8024095)_POINT (-122.265232 37.797357),,POINT (-122.2651075 37.8024095),POINT (-122.265232 37.797357),562.5483247187724,1,1,-1,-1,-1,,"LINESTRING (-122.2651075 37.8024095, -122.265232 37.797357)",auto,1,True
POINT (-122.2651075 37.8024095)_POINT (-122.271589 37.803471),,POINT (-122.2651075 37.8024095),POINT (-122.271589 37.803471),582.2054759483067,1,1,-1,-1,-1,,"LINESTRING (-122.2651075 37.8024095, -122.271589 37.803471)",auto,1,True
